Dataset,Best_Model,F1_Score,Accuracy,CV_F1_Avg
Test,AdaBoost,0.8699633699633699,0.8690476190476191,0.8760871925641546
External (CGGA),RandomForest,0.705368078249434,0.6993006993006993,0.8596095837109534
