Metric,Value
CV_Avg_Accuracy,0.879120879120879
CV_Avg_Precision,0.8824079708989828
CV_Avg_Recall,0.879120879120879
CV_Avg_F1,0.8788466926624199
Test_Accuracy,0.8392857142857143
Test_Precision,0.8421146953405018
Test_Recall,0.8392857142857143
Test_F1,0.8399530601191552
External (CGGA)_Accuracy,0.6643356643356644
External (CGGA)_Precision,0.7246100053792361
External (CGGA)_Recall,0.6643356643356644
External (CGGA)_F1,0.6706004704819696
