Metric,Value
CV_Avg_Accuracy,0.8727106227106226
CV_Avg_Precision,0.8774706615569287
CV_Avg_Recall,0.8727106227106226
CV_Avg_F1,0.872266601441473
Test_Accuracy,0.8690476190476191
Test_Precision,0.8829365079365078
Test_Recall,0.8690476190476191
Test_F1,0.8699633699633699
External (CGGA)_Accuracy,0.6818181818181818
External (CGGA)_Precision,0.7285674243536526
External (CGGA)_Recall,0.6818181818181818
External (CGGA)_F1,0.6884051827913963
