Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.44,0.8778,0.8274,0.7595,0.8571,0.8061,0.8054
HeteroGATv2,No Balancing,CGGA,0.44,0.6823,0.6364,0.4911,0.5392,0.6902,0.514
MOGAT,No Balancing,TCGA Test,0.49,0.9092,0.8571,0.7949,0.8857,0.8367,0.8378
MOGAT,No Balancing,CGGA,0.49,0.7713,0.6993,0.5548,0.7941,0.6467,0.6532
HyperTMO,No Balancing,TCGA Test,0.47,0.83,0.7083,0.7838,0.4143,0.9184,0.5421
HyperTMO,No Balancing,CGGA,0.47,0.6748,0.458,0.3822,0.8431,0.2446,0.526
RGCN,No Balancing,TCGA Test,0.496,0.8147,0.7083,0.6154,0.8,0.6429,0.6957
RGCN,No Balancing,CGGA,0.496,0.6004,0.3566,0.3566,1.0,0.0,0.5258
VEGN,No Balancing,TCGA Test,0.456,0.9066,0.8036,0.7079,0.9,0.7347,0.7925
VEGN,No Balancing,CGGA,0.456,0.703,0.6329,0.4902,0.7353,0.5761,0.5882
FastHGTConv,No Balancing,TCGA Test,0.516,0.9258,0.8155,0.7053,0.9571,0.7143,0.8121
FastHGTConv,No Balancing,CGGA,0.516,0.7518,0.542,0.4332,0.9216,0.3315,0.5893
SGNN,No Balancing,TCGA Test,0.456,0.8076,0.744,0.6517,0.8286,0.6837,0.7296
SGNN,No Balancing,CGGA,0.456,0.6254,0.3601,0.3579,1.0,0.0054,0.5271
HeteroGATv2,SMOTE,TCGA Test,0.494,0.9197,0.8393,0.7792,0.8571,0.8265,0.8163
HeteroGATv2,SMOTE,CGGA,0.494,0.7713,0.5734,0.4505,0.8922,0.3967,0.5987
MOGAT,SMOTE,TCGA Test,0.52,0.8898,0.8155,0.7468,0.8429,0.7959,0.7919
MOGAT,SMOTE,CGGA,0.52,0.6647,0.5804,0.455,0.8922,0.4076,0.6026
HyperTMO,SMOTE,TCGA Test,0.514,0.8283,0.756,0.7164,0.6857,0.8061,0.7007
HyperTMO,SMOTE,CGGA,0.514,0.6773,0.528,0.4118,0.7549,0.4022,0.5329
RGCN,SMOTE,TCGA Test,0.508,0.8166,0.7083,0.7561,0.4429,0.898,0.5586
RGCN,SMOTE,CGGA,0.508,0.6677,0.6119,0.4681,0.6471,0.5924,0.5432
VEGN,SMOTE,TCGA Test,0.49,0.9208,0.8393,0.7722,0.8714,0.8163,0.8188
VEGN,SMOTE,CGGA,0.49,0.6839,0.5315,0.4238,0.8725,0.3424,0.5705
FastHGTConv,SMOTE,TCGA Test,0.356,0.8882,0.7917,0.6804,0.9429,0.6837,0.7904
FastHGTConv,SMOTE,CGGA,0.356,0.6701,0.451,0.3887,0.9412,0.1793,0.5501
SGNN,SMOTE,TCGA Test,0.516,0.8074,0.7619,0.7083,0.7286,0.7857,0.7183
SGNN,SMOTE,CGGA,0.516,0.67,0.6434,0.5,0.4902,0.7283,0.495
HeteroGATv2,CTGAN,TCGA Test,0.532,0.9143,0.8333,0.75,0.9,0.7857,0.8182
HeteroGATv2,CTGAN,CGGA,0.532,0.7895,0.7028,0.5594,0.7843,0.6576,0.6531
MOGAT,CTGAN,TCGA Test,0.536,0.9044,0.8095,0.7317,0.8571,0.7755,0.7895
MOGAT,CTGAN,CGGA,0.536,0.7868,0.7098,0.5704,0.7549,0.6848,0.6498
HyperTMO,CTGAN,TCGA Test,0.516,0.8271,0.75,0.7,0.7,0.7857,0.7
HyperTMO,CTGAN,CGGA,0.516,0.6754,0.6818,0.5591,0.5098,0.7772,0.5333
RGCN,CTGAN,TCGA Test,0.528,0.8243,0.7381,0.6625,0.7571,0.7245,0.7067
RGCN,CTGAN,CGGA,0.528,0.6808,0.3741,0.3547,0.9216,0.0707,0.5123
VEGN,CTGAN,TCGA Test,0.548,0.8977,0.8274,0.7595,0.8571,0.8061,0.8054
VEGN,CTGAN,CGGA,0.548,0.7282,0.6923,0.57,0.5588,0.7663,0.5644
FastHGTConv,CTGAN,TCGA Test,0.538,0.9115,0.8274,0.747,0.8857,0.7857,0.8105
FastHGTConv,CTGAN,CGGA,0.538,0.7125,0.549,0.4341,0.8725,0.3696,0.5798
SGNN,CTGAN,TCGA Test,0.48,0.8236,0.756,0.6986,0.7286,0.7755,0.7133
SGNN,CTGAN,CGGA,0.48,0.6803,0.514,0.4051,0.7745,0.3696,0.532
HeteroGATv2,ROS,TCGA Test,0.496,0.9036,0.8512,0.7922,0.8714,0.8367,0.8299
HeteroGATv2,ROS,CGGA,0.496,0.7628,0.6923,0.5593,0.6471,0.7174,0.6
MOGAT,ROS,TCGA Test,0.508,0.9176,0.8869,0.8148,0.9429,0.8469,0.8742
MOGAT,ROS,CGGA,0.508,0.7546,0.6399,0.4969,0.7941,0.5543,0.6113
HyperTMO,ROS,TCGA Test,0.542,0.8367,0.7619,0.7206,0.7,0.8061,0.7101
HyperTMO,ROS,CGGA,0.542,0.6865,0.6049,0.4615,0.6471,0.5815,0.5388
RGCN,ROS,TCGA Test,0.466,0.8213,0.7321,0.6761,0.6857,0.7653,0.6809
RGCN,ROS,CGGA,0.466,0.7003,0.7378,0.7213,0.4314,0.9076,0.5399
VEGN,ROS,TCGA Test,0.534,0.9143,0.8333,0.7917,0.8143,0.8469,0.8028
VEGN,ROS,CGGA,0.534,0.7604,0.6783,0.5342,0.7647,0.6304,0.629
FastHGTConv,ROS,TCGA Test,0.536,0.9259,0.8571,0.7738,0.9286,0.8061,0.8442
FastHGTConv,ROS,CGGA,0.536,0.7678,0.5804,0.4559,0.9118,0.3967,0.6078
SGNN,ROS,TCGA Test,0.508,0.8226,0.7321,0.6344,0.8429,0.6531,0.7239
SGNN,ROS,CGGA,0.508,0.6619,0.3566,0.3566,1.0,0.0,0.5258
