Model,Pipeline,Dataset,AUC,Accuracy,Precision,Recall_1,Recall_0,F1,Threshold
DAHGNN,No Balancing,TCGA Test,0.923,0.8393,0.8209,0.7857,0.8776,0.8029,0.59
DAHGNN,No Balancing,CGGA,0.7989,0.7552,0.8636,0.3725,0.9674,0.5205,0.59
DAHGNN,SMOTE,TCGA Test,0.9254,0.8631,0.7901,0.9143,0.8265,0.8477,0.49
DAHGNN,SMOTE,CGGA,0.7944,0.6434,0.5,0.8431,0.5326,0.6277,0.49
