auc,accuracy,precision,recall,recall_0,f1,fold,threshold,Model,Pipeline
0.9212775528565003,0.9037037037037037,0.8548387096774194,0.9298245614035088,0.8846153846153846,0.8907563025210085,1,0.4400000000000001,HeteroGATv2,No Balancing
0.9294871794871794,0.8955223880597015,0.875,0.875,0.9102564102564102,0.875,2,0.5300000000000002,HeteroGATv2,No Balancing
0.8933150183150184,0.8507462686567164,0.8103448275862069,0.8392857142857143,0.8589743589743589,0.8245614035087719,3,0.5200000000000002,HeteroGATv2,No Balancing
0.9418498168498168,0.9029850746268657,0.8412698412698413,0.9464285714285714,0.8717948717948718,0.8907563025210085,4,0.5200000000000002,HeteroGATv2,No Balancing
0.9213943950786057,0.8731343283582089,0.7941176470588235,0.9473684210526315,0.8181818181818182,0.864,5,0.4400000000000001,HeteroGATv2,No Balancing
0.915204678362573,0.8962962962962963,0.8524590163934426,0.9122807017543859,0.8846153846153846,0.8813559322033898,1,0.48000000000000015,MOGAT,No Balancing
0.8619505494505495,0.8059701492537313,0.7777777777777778,0.75,0.8461538461538461,0.7636363636363637,2,0.5000000000000002,MOGAT,No Balancing
0.9001831501831502,0.8656716417910447,0.8166666666666667,0.875,0.8589743589743589,0.8448275862068966,3,0.5500000000000003,MOGAT,No Balancing
0.8477564102564102,0.753731343283582,0.6493506493506493,0.8928571428571429,0.6538461538461539,0.7518796992481203,4,0.5000000000000002,MOGAT,No Balancing
0.9211665527455001,0.8805970149253731,0.7971014492753623,0.9649122807017544,0.8181818181818182,0.873015873015873,5,0.4000000000000001,MOGAT,No Balancing
0.7966711650922178,0.7407407407407407,0.7115384615384616,0.6491228070175439,0.8076923076923077,0.6788990825688074,1,0.48000000000000015,HyperTMO,No Balancing
0.8509615384615385,0.8208955223880597,0.8076923076923077,0.75,0.8717948717948718,0.7777777777777778,2,0.46000000000000013,HyperTMO,No Balancing
0.88003663003663,0.835820895522388,0.7575757575757576,0.8928571428571429,0.7948717948717948,0.819672131147541,3,0.6300000000000003,HyperTMO,No Balancing
0.9184981684981685,0.8656716417910447,0.8064516129032258,0.8928571428571429,0.8461538461538461,0.847457627118644,4,0.48000000000000015,HyperTMO,No Balancing
0.8514467988152198,0.7985074626865671,0.7142857142857143,0.8771929824561403,0.7402597402597403,0.7874015748031497,5,0.4100000000000001,HyperTMO,No Balancing
0.8418803418803419,0.7777777777777778,0.68,0.8947368421052632,0.6923076923076923,0.7727272727272727,1,0.39000000000000007,RGCN,No Balancing
0.9013278388278388,0.835820895522388,0.7428571428571429,0.9285714285714286,0.7692307692307693,0.8253968253968254,2,0.4000000000000001,RGCN,No Balancing
