Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.41,0.8729,0.8214,0.7381,0.8857,0.7755,0.8052
HeteroGATv2,No Balancing,CGGA,0.41,0.6904,0.6434,0.5,0.6275,0.6522,0.5565
MOGAT,No Balancing,TCGA Test,0.47,0.8465,0.7857,0.7073,0.8286,0.7551,0.7632
MOGAT,No Balancing,CGGA,0.47,0.7376,0.6503,0.5063,0.7843,0.5761,0.6154
HyperTMO,No Balancing,TCGA Test,0.478,0.8325,0.7738,0.7581,0.6714,0.8469,0.7121
HyperTMO,No Balancing,CGGA,0.478,0.6722,0.3811,0.3574,0.9216,0.0815,0.5151
RGCN,No Balancing,TCGA Test,0.496,0.8147,0.7083,0.6154,0.8,0.6429,0.6957
RGCN,No Balancing,CGGA,0.496,0.6004,0.3566,0.3566,1.0,0.0,0.5258
VEGN,No Balancing,TCGA Test,0.468,0.9045,0.8214,0.7326,0.9,0.7653,0.8077
VEGN,No Balancing,CGGA,0.468,0.6928,0.6259,0.483,0.6961,0.587,0.5703
FastHGTConv,No Balancing,TCGA Test,0.568,0.9258,0.875,0.8025,0.9286,0.8367,0.8609
FastHGTConv,No Balancing,CGGA,0.568,0.7602,0.6119,0.4746,0.8235,0.4946,0.6022
SGNN,No Balancing,TCGA Test,0.456,0.8074,0.744,0.6517,0.8286,0.6837,0.7296
SGNN,No Balancing,CGGA,0.456,0.6227,0.3566,0.3566,1.0,0.0,0.5258
HeteroGATv2,SMOTE,TCGA Test,0.51,0.9235,0.869,0.8158,0.8857,0.8571,0.8493
HeteroGATv2,SMOTE,CGGA,0.51,0.7736,0.5804,0.4545,0.8824,0.413,0.6
MOGAT,SMOTE,TCGA Test,0.52,0.8889,0.8095,0.7436,0.8286,0.7959,0.7838
MOGAT,SMOTE,CGGA,0.52,0.6735,0.5699,0.4478,0.8824,0.3967,0.5941
HyperTMO,SMOTE,TCGA Test,0.514,0.8302,0.7619,0.7344,0.6714,0.8265,0.7015
HyperTMO,SMOTE,CGGA,0.514,0.6819,0.5175,0.4053,0.7549,0.3859,0.5274
RGCN,SMOTE,TCGA Test,0.526,0.8166,0.6667,0.7333,0.3143,0.9184,0.44
RGCN,SMOTE,CGGA,0.526,0.6677,0.6643,0.5312,0.5,0.7554,0.5152
VEGN,SMOTE,TCGA Test,0.502,0.921,0.8274,0.7662,0.8429,0.8163,0.8027
VEGN,SMOTE,CGGA,0.502,0.6927,0.5559,0.4372,0.8529,0.3913,0.5781
FastHGTConv,SMOTE,TCGA Test,0.534,0.9098,0.8333,0.7625,0.8714,0.8061,0.8133
FastHGTConv,SMOTE,CGGA,0.534,0.6302,0.5385,0.4265,0.8529,0.3641,0.5686
SGNN,SMOTE,TCGA Test,0.518,0.8109,0.7619,0.7027,0.7429,0.7755,0.7222
SGNN,SMOTE,CGGA,0.518,0.6703,0.6119,0.4609,0.5196,0.663,0.4885
HeteroGATv2,CTGAN,TCGA Test,0.516,0.914,0.8274,0.7356,0.9143,0.7653,0.8153
HeteroGATv2,CTGAN,CGGA,0.516,0.7917,0.6958,0.551,0.7941,0.6413,0.6506
MOGAT,CTGAN,TCGA Test,0.538,0.902,0.8333,0.7561,0.8857,0.7959,0.8158
MOGAT,CTGAN,CGGA,0.538,0.7089,0.6888,0.5537,0.6569,0.7065,0.6009
HyperTMO,CTGAN,TCGA Test,0.528,0.8344,0.756,0.6883,0.7571,0.7551,0.7211
HyperTMO,CTGAN,CGGA,0.528,0.6812,0.4545,0.3856,0.8922,0.212,0.5385
RGCN,CTGAN,TCGA Test,0.456,0.8136,0.7262,0.6224,0.8714,0.6224,0.7262
RGCN,CTGAN,CGGA,0.456,0.6463,0.6119,0.464,0.5686,0.6359,0.511
VEGN,CTGAN,TCGA Test,0.562,0.891,0.8452,0.7821,0.8714,0.8265,0.8243
VEGN,CTGAN,CGGA,0.562,0.7387,0.7063,0.5938,0.5588,0.788,0.5758
FastHGTConv,CTGAN,TCGA Test,0.542,0.8719,0.7976,0.7308,0.8143,0.7857,0.7703
FastHGTConv,CTGAN,CGGA,0.542,0.6432,0.5699,0.4371,0.7157,0.4891,0.5428
SGNN,CTGAN,TCGA Test,0.508,0.8131,0.7202,0.6211,0.8429,0.6327,0.7152
SGNN,CTGAN,CGGA,0.508,0.6854,0.458,0.3882,0.902,0.212,0.5428
HeteroGATv2,ROS,TCGA Test,0.498,0.8962,0.8571,0.7949,0.8857,0.8367,0.8378
HeteroGATv2,ROS,CGGA,0.498,0.768,0.6538,0.5102,0.7353,0.6087,0.6024
MOGAT,ROS,TCGA Test,0.484,0.9178,0.875,0.7952,0.9429,0.8265,0.8627
MOGAT,ROS,CGGA,0.484,0.755,0.6329,0.4911,0.8137,0.5326,0.6125
HyperTMO,ROS,TCGA Test,0.546,0.8382,0.7619,0.7419,0.6571,0.8367,0.697
HyperTMO,ROS,CGGA,0.546,0.686,0.6329,0.4887,0.6373,0.6304,0.5532
RGCN,ROS,TCGA Test,0.464,0.8213,0.7321,0.6712,0.7,0.7551,0.6853
RGCN,ROS,CGGA,0.464,0.7003,0.7378,0.7213,0.4314,0.9076,0.5399
VEGN,ROS,TCGA Test,0.518,0.9227,0.8631,0.7975,0.9,0.8367,0.8456
VEGN,ROS,CGGA,0.518,0.7709,0.6783,0.5347,0.7549,0.6359,0.626
FastHGTConv,ROS,TCGA Test,0.536,0.9278,0.8631,0.7901,0.9143,0.8265,0.8477
FastHGTConv,ROS,CGGA,0.536,0.7748,0.6538,0.5085,0.8824,0.5272,0.6452
SGNN,ROS,TCGA Test,0.514,0.8217,0.75,0.6591,0.8286,0.6939,0.7342
SGNN,ROS,CGGA,0.514,0.6635,0.3566,0.3566,1.0,0.0,0.5258
HeteroGATv2,ROS+SF,TCGA Test,0.544,0.9168,0.8452,0.7973,0.8429,0.8469,0.8194
HeteroGATv2,ROS+SF,CGGA,0.544,0.7668,0.7028,0.5825,0.5882,0.7663,0.5854
MOGAT,ROS+SF,TCGA Test,0.548,0.9185,0.869,0.8077,0.9,0.8469,0.8514
MOGAT,ROS+SF,CGGA,0.548,0.759,0.6678,0.5229,0.7843,0.6033,0.6275
HyperTMO,ROS+SF,TCGA Test,0.524,0.8366,0.7679,0.7246,0.7143,0.8061,0.7194
HyperTMO,ROS+SF,CGGA,0.524,0.6838,0.521,0.4064,0.7451,0.3967,0.526
RGCN,ROS+SF,TCGA Test,0.478,0.8213,0.7381,0.6477,0.8143,0.6837,0.7215
RGCN,ROS+SF,CGGA,0.478,0.6735,0.6888,0.6032,0.3725,0.8641,0.4606
VEGN,ROS+SF,TCGA Test,0.528,0.9224,0.869,0.8077,0.9,0.8469,0.8514
VEGN,ROS+SF,CGGA,0.528,0.7731,0.6923,0.55,0.7549,0.6576,0.6364
FastHGTConv,ROS+SF,TCGA Test,0.422,0.9058,0.8512,0.7647,0.9286,0.7959,0.8387
FastHGTConv,ROS+SF,CGGA,0.422,0.6451,0.4371,0.3689,0.8137,0.2283,0.5076
SGNN,ROS+SF,TCGA Test,0.512,0.8211,0.7381,0.6413,0.8429,0.6633,0.7284
SGNN,ROS+SF,CGGA,0.512,0.6632,0.3566,0.3566,1.0,0.0,0.5258
