Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9205,0.014,0.8734,0.0194,0.8163,0.0348,0.9041,0.0209,0.8508,0.0374,0.8575,0.0188,0.561,0.0672
FastHGTConv,No Balancing,0.9155,0.0119,0.8659,0.0147,0.8177,0.0331,0.8796,0.0377,0.856,0.038,0.8465,0.015,0.483,0.0546
FastHGTConv,ROS,0.9211,0.0089,0.8734,0.0256,0.8206,0.0411,0.8971,0.0344,0.8559,0.0417,0.8565,0.0274,0.53,0.0449
FastHGTConv,SMOTE,0.9262,0.0159,0.8808,0.0237,0.8241,0.0266,0.9113,0.0455,0.8585,0.0265,0.8651,0.0285,0.532,0.0317
HeteroGATv2,CTGAN,0.9126,0.0185,0.8733,0.0237,0.8166,0.0411,0.9041,0.0302,0.8508,0.0426,0.8574,0.0239,0.59,0.0302
HeteroGATv2,No Balancing,0.9169,0.0151,0.8852,0.0222,0.8347,0.0317,0.9076,0.0298,0.8688,0.0296,0.8693,0.0247,0.546,0.0383
HeteroGATv2,ROS,0.9164,0.0121,0.8822,0.0187,0.8306,0.0166,0.9041,0.0395,0.8663,0.0153,0.8655,0.0238,0.569,0.0241
HeteroGATv2,SMOTE,0.9166,0.0126,0.8808,0.0206,0.8238,0.0242,0.9112,0.0257,0.8586,0.0206,0.8653,0.0235,0.533,0.0311
HyperTMO,CTGAN,0.8192,0.0239,0.7586,0.0274,0.6914,0.0375,0.7731,0.0484,0.748,0.0444,0.7291,0.0304,0.552,0.0115
HyperTMO,No Balancing,0.8233,0.035,0.7646,0.0364,0.7193,0.0544,0.7338,0.0834,0.7865,0.0705,0.7227,0.0453,0.528,0.0148
HyperTMO,ROS,0.8111,0.0364,0.7527,0.0418,0.6883,0.0674,0.7729,0.0394,0.7379,0.0906,0.7256,0.0302,0.547,0.0192
HyperTMO,SMOTE,0.8363,0.0307,0.7855,0.0336,0.7391,0.0543,0.7657,0.0617,0.7994,0.0638,0.7499,0.0359,0.552,0.037
MOGAT,CTGAN,0.9089,0.0199,0.8718,0.0249,0.8212,0.0458,0.8936,0.05,0.856,0.0483,0.8544,0.0266,0.588,0.0588
MOGAT,No Balancing,0.9153,0.0157,0.8837,0.0156,0.8234,0.0225,0.9218,0.0373,0.8559,0.0255,0.8694,0.0188,0.554,0.0577
MOGAT,ROS,0.9227,0.0174,0.8778,0.0145,0.8188,0.0375,0.9148,0.0319,0.8508,0.0428,0.8631,0.0122,0.565,0.0983
MOGAT,SMOTE,0.9226,0.0188,0.8823,0.0134,0.8208,0.0229,0.9219,0.0208,0.8534,0.0235,0.8681,0.0144,0.564,0.0816
RGCN,CTGAN,0.7985,0.0255,0.7482,0.0322,0.7015,0.0655,0.7229,0.062,0.7659,0.0972,0.7076,0.013,0.53,0.0146
RGCN,No Balancing,0.807,0.0272,0.7437,0.0326,0.6744,0.0412,0.7624,0.1046,0.7299,0.0667,0.7123,0.0482,0.529,0.0139
RGCN,ROS,0.8143,0.0271,0.7586,0.0302,0.6955,0.0589,0.7767,0.062,0.7456,0.082,0.7304,0.0207,0.507,0.0475
RGCN,SMOTE,0.8162,0.0253,0.7527,0.0338,0.6834,0.0347,0.7662,0.0476,0.743,0.0265,0.7223,0.0396,0.597,0.0175
SGNN,CTGAN,0.7985,0.0346,0.7586,0.0321,0.7005,0.0481,0.752,0.0614,0.7634,0.0585,0.7235,0.0353,0.493,0.0152
SGNN,No Balancing,0.8184,0.0258,0.7572,0.0346,0.6843,0.0438,0.7907,0.067,0.7326,0.0565,0.732,0.0376,0.527,0.0342
SGNN,ROS,0.8097,0.0312,0.7631,0.0257,0.7008,0.036,0.7661,0.0626,0.7609,0.0451,0.7305,0.0314,0.503,0.0271
SGNN,SMOTE,0.8203,0.0229,0.7765,0.0313,0.7044,0.0472,0.8156,0.0495,0.7481,0.0606,0.7544,0.029,0.501,0.036
VEGN,CTGAN,0.9099,0.0183,0.8479,0.0259,0.7924,0.0292,0.8654,0.038,0.8354,0.025,0.8271,0.0295,0.577,0.0196
VEGN,No Balancing,0.9161,0.0167,0.8718,0.0209,0.8141,0.0404,0.9042,0.0205,0.8483,0.0431,0.856,0.0193,0.498,0.0373
VEGN,ROS,0.9118,0.0221,0.8748,0.0266,0.8335,0.0357,0.8792,0.0544,0.8713,0.036,0.8548,0.0328,0.553,0.0413
VEGN,SMOTE,0.9148,0.0166,0.8703,0.0263,0.8172,0.0441,0.8935,0.0257,0.8534,0.0416,0.8531,0.0278,0.555,0.0398
