Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5460000000000004
MOGAT,No Balancing,0.5540000000000003
HyperTMO,No Balancing,0.5280000000000002
RGCN,No Balancing,0.5290000000000002
VEGN,No Balancing,0.49800000000000033
FastHGTConv,No Balancing,0.48300000000000026
SGNN,No Balancing,0.5270000000000004
HeteroGATv2,SMOTE,0.5330000000000001
MOGAT,SMOTE,0.5640000000000004
HyperTMO,SMOTE,0.5520000000000003
RGCN,SMOTE,0.5970000000000004
VEGN,SMOTE,0.5550000000000004
FastHGTConv,SMOTE,0.5320000000000003
SGNN,SMOTE,0.5010000000000003
HeteroGATv2,CTGAN,0.5900000000000004
MOGAT,CTGAN,0.5880000000000003
HyperTMO,CTGAN,0.5520000000000003
RGCN,CTGAN,0.5300000000000002
VEGN,CTGAN,0.5770000000000003
FastHGTConv,CTGAN,0.5610000000000004
SGNN,CTGAN,0.4930000000000002
HeteroGATv2,ROS,0.5690000000000003
MOGAT,ROS,0.5650000000000004
HyperTMO,ROS,0.5470000000000003
RGCN,ROS,0.5070000000000003
VEGN,ROS,0.5530000000000003
FastHGTConv,ROS,0.5300000000000002
SGNN,ROS,0.5030000000000003
