Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.546,0.9211,0.8512,0.8,0.8571,0.8469,0.8276
HeteroGATv2,No Balancing,CGGA,0.546,0.7223,0.6643,0.5195,0.7843,0.5978,0.625
MOGAT,No Balancing,TCGA Test,0.554,0.9289,0.869,0.8,0.9143,0.8367,0.8533
MOGAT,No Balancing,CGGA,0.554,0.7976,0.6818,0.5385,0.7549,0.6413,0.6286
HyperTMO,No Balancing,TCGA Test,0.528,0.8299,0.7619,0.7143,0.7143,0.7959,0.7143
HyperTMO,No Balancing,CGGA,0.528,0.558,0.3881,0.358,0.902,0.1033,0.5125
RGCN,No Balancing,TCGA Test,0.529,0.8267,0.7321,0.6506,0.7714,0.7041,0.7059
RGCN,No Balancing,CGGA,0.529,0.6673,0.6993,0.6538,0.3333,0.9022,0.4416
VEGN,No Balancing,TCGA Test,0.498,0.9038,0.8393,0.7722,0.8714,0.8163,0.8188
VEGN,No Balancing,CGGA,0.498,0.6546,0.5769,0.4475,0.7941,0.4565,0.5724
FastHGTConv,No Balancing,TCGA Test,0.483,0.9038,0.8393,0.7529,0.9143,0.7857,0.8258
FastHGTConv,No Balancing,CGGA,0.483,0.6475,0.6014,0.4595,0.6667,0.5652,0.544
SGNN,No Balancing,TCGA Test,0.527,0.821,0.7679,0.6742,0.8571,0.7041,0.7547
SGNN,No Balancing,CGGA,0.527,0.6741,0.3671,0.3594,0.9902,0.0217,0.5274
HeteroGATv2,SMOTE,TCGA Test,0.533,0.9224,0.869,0.8,0.9143,0.8367,0.8533
HeteroGATv2,SMOTE,CGGA,0.533,0.7877,0.6888,0.543,0.8039,0.625,0.6482
MOGAT,SMOTE,TCGA Test,0.564,0.9069,0.875,0.8101,0.9143,0.8469,0.8591
MOGAT,SMOTE,CGGA,0.564,0.7869,0.7028,0.5612,0.7647,0.6685,0.6473
HyperTMO,SMOTE,TCGA Test,0.552,0.8278,0.7619,0.6923,0.7714,0.7551,0.7297
HyperTMO,SMOTE,CGGA,0.552,0.6762,0.7203,0.6897,0.3922,0.9022,0.5
RGCN,SMOTE,TCGA Test,0.597,0.8273,0.756,0.7164,0.6857,0.8061,0.7007
RGCN,SMOTE,CGGA,0.597,0.6786,0.4406,0.3728,0.8333,0.2228,0.5152
VEGN,SMOTE,TCGA Test,0.555,0.906,0.8333,0.7692,0.8571,0.8163,0.8108
VEGN,SMOTE,CGGA,0.555,0.7072,0.6573,0.5204,0.5,0.7446,0.51
FastHGTConv,SMOTE,TCGA Test,0.532,0.927,0.8512,0.7647,0.9286,0.7959,0.8387
FastHGTConv,SMOTE,CGGA,0.532,0.7678,0.7273,0.6071,0.6667,0.7609,0.6355
SGNN,SMOTE,TCGA Test,0.501,0.8382,0.7679,0.7123,0.7429,0.7857,0.7273
SGNN,SMOTE,CGGA,0.501,0.5834,0.6154,0.4565,0.4118,0.7283,0.433
HeteroGATv2,CTGAN,TCGA Test,0.59,0.9105,0.8571,0.8286,0.8286,0.8776,0.8286
HeteroGATv2,CTGAN,CGGA,0.59,0.7695,0.6923,0.5515,0.7353,0.6685,0.6303
MOGAT,CTGAN,TCGA Test,0.588,0.9077,0.8512,0.7711,0.9143,0.8061,0.8366
MOGAT,CTGAN,CGGA,0.588,0.7902,0.7273,0.5896,0.7745,0.7011,0.6695
HyperTMO,CTGAN,TCGA Test,0.552,0.8258,0.7083,0.7333,0.4714,0.8776,0.5739
HyperTMO,CTGAN,CGGA,0.552,0.6527,0.5455,0.4247,0.7745,0.4185,0.5486
RGCN,CTGAN,TCGA Test,0.53,0.8226,0.744,0.6709,0.7571,0.7347,0.7114
RGCN,CTGAN,CGGA,0.53,0.6923,0.4965,0.399,0.8137,0.3207,0.5355
VEGN,CTGAN,TCGA Test,0.577,0.8894,0.8333,0.7625,0.8714,0.8061,0.8133
VEGN,CTGAN,CGGA,0.577,0.7204,0.6748,0.5391,0.6078,0.712,0.5714
FastHGTConv,CTGAN,TCGA Test,0.561,0.8509,0.7798,0.6737,0.9143,0.6837,0.7758
FastHGTConv,CTGAN,CGGA,0.561,0.7264,0.6259,0.4857,0.8333,0.5109,0.6137
SGNN,CTGAN,TCGA Test,0.493,0.834,0.7738,0.7105,0.7714,0.7755,0.7397
SGNN,CTGAN,CGGA,0.493,0.5025,0.5315,0.3667,0.4314,0.587,0.3964
HeteroGATv2,ROS,TCGA Test,0.569,0.9278,0.869,0.8077,0.9,0.8469,0.8514
HeteroGATv2,ROS,CGGA,0.569,0.7805,0.6818,0.5374,0.7745,0.6304,0.6345
MOGAT,ROS,TCGA Test,0.565,0.9168,0.8631,0.7975,0.9,0.8367,0.8456
MOGAT,ROS,CGGA,0.565,0.7705,0.6888,0.5489,0.7157,0.6739,0.6213
HyperTMO,ROS,TCGA Test,0.547,0.8267,0.744,0.6753,0.7429,0.7449,0.7075
HyperTMO,ROS,CGGA,0.547,0.543,0.3636,0.3551,0.9608,0.0326,0.5185
