Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,CTGAN,TCGA Test,0.587,0.9031,0.8214,0.7632,0.8286,0.8163,0.7945
HeteroGATv2,CTGAN,CGGA,0.587,0.7466,0.7063,0.6098,0.4902,0.8261,0.5435
MOGAT,CTGAN,TCGA Test,0.597,0.9071,0.8333,0.7692,0.8571,0.8163,0.8108
MOGAT,CTGAN,CGGA,0.597,0.8,0.7378,0.6063,0.7549,0.7283,0.6725
HyperTMO,CTGAN,TCGA Test,0.58,0.8082,0.744,0.7143,0.6429,0.8163,0.6767
HyperTMO,CTGAN,CGGA,0.58,0.6064,0.3566,0.3566,1.0,0.0,0.5258
RGCN,CTGAN,TCGA Test,0.53,0.8226,0.744,0.6709,0.7571,0.7347,0.7114
RGCN,CTGAN,CGGA,0.53,0.6923,0.4965,0.399,0.8137,0.3207,0.5355
VEGN,CTGAN,TCGA Test,0.58,0.8276,0.756,0.679,0.7857,0.7347,0.7285
VEGN,CTGAN,CGGA,0.58,0.6782,0.7168,0.6207,0.5294,0.8207,0.5714
FastHGTConv,CTGAN,TCGA Test,0.546,0.8977,0.7798,0.6602,0.9714,0.6429,0.7861
FastHGTConv,CTGAN,CGGA,0.546,0.7384,0.3566,0.3566,1.0,0.0,0.5258
SGNN,CTGAN,TCGA Test,0.493,0.834,0.7738,0.7105,0.7714,0.7755,0.7397
SGNN,CTGAN,CGGA,0.493,0.5025,0.5315,0.3667,0.4314,0.587,0.3964
HeteroGATv2,ROS,TCGA Test,0.578,0.9227,0.8452,0.8235,0.8,0.8776,0.8116
HeteroGATv2,ROS,CGGA,0.578,0.7623,0.7098,0.5841,0.6471,0.7446,0.614
MOGAT,ROS,TCGA Test,0.557,0.9051,0.8393,0.7722,0.8714,0.8163,0.8188
MOGAT,ROS,CGGA,0.557,0.7274,0.6329,0.4897,0.6961,0.5978,0.5749
HyperTMO,ROS,TCGA Test,0.57,0.8128,0.744,0.6627,0.7857,0.7143,0.719
HyperTMO,ROS,CGGA,0.57,0.6074,0.3566,0.3566,1.0,0.0,0.5258
RGCN,ROS,TCGA Test,0.51,0.8246,0.6905,0.5776,0.9571,0.5,0.7204
RGCN,ROS,CGGA,0.51,0.7007,0.3566,0.3566,1.0,0.0,0.5258
VEGN,ROS,TCGA Test,0.563,0.8147,0.7262,0.6429,0.7714,0.6939,0.7013
VEGN,ROS,CGGA,0.563,0.6774,0.3566,0.3566,1.0,0.0,0.5258
FastHGTConv,ROS,TCGA Test,0.611,0.9281,0.881,0.8049,0.9429,0.8367,0.8684
FastHGTConv,ROS,CGGA,0.611,0.777,0.5839,0.4555,0.8529,0.4348,0.5939
SGNN,ROS,TCGA Test,0.503,0.8382,0.7738,0.7222,0.7429,0.7959,0.7324
SGNN,ROS,CGGA,0.503,0.5911,0.5524,0.3984,0.5,0.5815,0.4435
