Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.545,0.9232,0.8393,0.7867,0.8429,0.8367,0.8138
HeteroGATv2,No Balancing,CGGA,0.545,0.7581,0.6853,0.5476,0.6765,0.6902,0.6053
MOGAT,No Balancing,TCGA Test,0.549,0.9185,0.8631,0.8052,0.8857,0.8469,0.8435
MOGAT,No Balancing,CGGA,0.549,0.767,0.6993,0.5597,0.7353,0.6793,0.6356
HyperTMO,No Balancing,TCGA Test,0.509,0.7975,0.6905,0.5978,0.7857,0.6224,0.679
HyperTMO,No Balancing,CGGA,0.509,0.6816,0.5559,0.4339,0.8039,0.4185,0.5636
RGCN,No Balancing,TCGA Test,0.488,0.8195,0.7381,0.6512,0.8,0.6939,0.7179
RGCN,No Balancing,CGGA,0.488,0.5382,0.6224,0.4211,0.1569,0.8804,0.2286
VEGN,No Balancing,TCGA Test,0.535,0.8141,0.7083,0.6061,0.8571,0.602,0.7101
VEGN,No Balancing,CGGA,0.535,0.6775,0.3566,0.3566,1.0,0.0,0.5258
FastHGTConv,No Balancing,TCGA Test,0.525,0.8958,0.8274,0.7808,0.8143,0.8367,0.7972
FastHGTConv,No Balancing,CGGA,0.525,0.7219,0.6154,0.4759,0.7745,0.5272,0.5896
SGNN,No Balancing,TCGA Test,0.527,0.821,0.7738,0.6818,0.8571,0.7143,0.7595
SGNN,No Balancing,CGGA,0.527,0.6741,0.3671,0.3594,0.9902,0.0217,0.5274
HeteroGATv2,SMOTE,TCGA Test,0.562,0.9188,0.869,0.8077,0.9,0.8469,0.8514
HeteroGATv2,SMOTE,CGGA,0.562,0.7755,0.7203,0.5902,0.7059,0.7283,0.6429
MOGAT,SMOTE,TCGA Test,0.564,0.908,0.869,0.8,0.9143,0.8367,0.8533
MOGAT,SMOTE,CGGA,0.564,0.7861,0.7028,0.563,0.7451,0.6793,0.6414
HyperTMO,SMOTE,TCGA Test,0.585,0.8178,0.7321,0.6471,0.7857,0.6939,0.7097
HyperTMO,SMOTE,CGGA,0.585,0.6446,0.3566,0.3525,0.9608,0.0217,0.5158
RGCN,SMOTE,TCGA Test,0.597,0.8273,0.756,0.7164,0.6857,0.8061,0.7007
RGCN,SMOTE,CGGA,0.597,0.6786,0.4406,0.3728,0.8333,0.2228,0.5152
VEGN,SMOTE,TCGA Test,0.561,0.8273,0.756,0.6933,0.7429,0.7653,0.7172
VEGN,SMOTE,CGGA,0.561,0.6936,0.542,0.4225,0.7745,0.413,0.5467
FastHGTConv,SMOTE,TCGA Test,0.562,0.9076,0.6548,0.5476,0.9857,0.4184,0.7041
FastHGTConv,SMOTE,CGGA,0.562,0.795,0.3636,0.3592,1.0,0.0109,0.5285
SGNN,SMOTE,TCGA Test,0.501,0.8382,0.7679,0.7123,0.7429,0.7857,0.7273
SGNN,SMOTE,CGGA,0.501,0.5834,0.6154,0.4565,0.4118,0.7283,0.433
