auc,accuracy,precision,recall,recall_0,f1,fold,threshold,Model,Pipeline
0.9224021592442645,0.8962962962962963,0.8412698412698413,0.9298245614035088,0.8717948717948718,0.8833333333333333,1,0.48500000000000026,HeteroGATv2,No Balancing
0.9136904761904762,0.8731343283582089,0.8305084745762712,0.875,0.8717948717948718,0.8521739130434782,2,0.5100000000000002,HeteroGATv2,No Balancing
0.8940018315018315,0.8656716417910447,0.8064516129032258,0.8928571428571429,0.8461538461538461,0.847457627118644,3,0.5800000000000003,HeteroGATv2,No Balancing
0.9427655677655677,0.9104477611940298,0.8666666666666667,0.9285714285714286,0.8974358974358975,0.896551724137931,4,0.5700000000000003,HeteroGATv2,No Balancing
0.9182046024151287,0.8731343283582089,0.8225806451612904,0.8947368421052632,0.8571428571428571,0.8571428571428571,5,0.5800000000000003,HeteroGATv2,No Balancing
0.917004048582996,0.8962962962962963,0.8412698412698413,0.9298245614035088,0.8717948717948718,0.8833333333333333,1,0.49000000000000027,MOGAT,No Balancing
0.908882783882784,0.8805970149253731,0.8448275862068966,0.875,0.8846153846153846,0.8596491228070176,2,0.5650000000000004,MOGAT,No Balancing
0.8990384615384615,0.8432835820895522,0.7611940298507462,0.9107142857142857,0.7948717948717948,0.8292682926829268,3,0.5750000000000004,MOGAT,No Balancing
0.9388736263736264,0.9104477611940298,0.8793103448275862,0.9107142857142857,0.9102564102564102,0.8947368421052632,4,0.6000000000000003,MOGAT,No Balancing
0.9277739804055594,0.8805970149253731,0.7971014492753623,0.9649122807017544,0.8181818181818182,0.873015873015873,5,0.5150000000000003,MOGAT,No Balancing
0.7818263607737291,0.7185185185185186,0.6461538461538462,0.7368421052631579,0.7051282051282052,0.6885245901639344,1,0.4950000000000003,HyperTMO,No Balancing
0.80242673992674,0.7910447761194029,0.7592592592592593,0.7321428571428571,0.8333333333333334,0.7454545454545455,2,0.5350000000000004,HyperTMO,No Balancing
0.815018315018315,0.746268656716418,0.6486486486486487,0.8571428571428571,0.6666666666666666,0.7384615384615385,3,0.5200000000000002,HyperTMO,No Balancing
0.8580586080586081,0.7835820895522388,0.7213114754098361,0.7857142857142857,0.782051282051282,0.7521367521367521,4,0.5050000000000003,HyperTMO,No Balancing
0.8311688311688311,0.7761194029850746,0.684931506849315,0.8771929824561403,0.7012987012987013,0.7692307692307693,5,0.49000000000000027,HyperTMO,No Balancing
0.7843004948268106,0.6962962962962963,0.6,0.8421052631578947,0.5897435897435898,0.7007299270072993,1,0.3950000000000002,RGCN,No Balancing
0.8379120879120879,0.8134328358208955,0.7924528301886793,0.75,0.8589743589743589,0.7706422018348624,2,0.5950000000000004,RGCN,No Balancing
0.81753663003663,0.7611940298507462,0.6621621621621622,0.875,0.6794871794871795,0.7538461538461538,3,0.49000000000000027,RGCN,No Balancing
0.8472985347985348,0.7611940298507462,0.6875,0.7857142857142857,0.7435897435897436,0.7333333333333333,4,0.5250000000000004,RGCN,No Balancing
0.8259284575074048,0.7835820895522388,0.7121212121212122,0.8245614035087719,0.7532467532467533,0.7642276422764228,5,0.4350000000000002,RGCN,No Balancing
0.7695681511470984,0.6962962962962963,0.6142857142857143,0.7543859649122807,0.6538461538461539,0.6771653543307087,1,0.4950000000000003,VEGN,No Balancing
0.8533653846153847,0.8059701492537313,0.75,0.8035714285714286,0.8076923076923077,0.7758620689655172,2,0.5800000000000003,VEGN,No Balancing
0.818452380952381,0.7686567164179104,0.6984126984126984,0.7857142857142857,0.7564102564102564,0.7394957983193278,3,0.5550000000000004,VEGN,No Balancing
0.84375,0.7686567164179104,0.7192982456140351,0.7321428571428571,0.7948717948717948,0.7256637168141593,4,0.5100000000000002,VEGN,No Balancing
0.825472772841194,0.7686567164179104,0.7096774193548387,0.7719298245614035,0.7662337662337663,0.7394957983193278,5,0.5350000000000004,VEGN,No Balancing
0.9394961763382816,0.8962962962962963,0.8524590163934426,0.9122807017543859,0.8846153846153846,0.8813559322033898,1,0.2,FastHGTConv,No Balancing
0.950091575091575,0.9104477611940298,0.8793103448275862,0.9107142857142857,0.9102564102564102,0.8947368421052632,2,0.6050000000000004,FastHGTConv,No Balancing
0.9175824175824175,0.8656716417910447,0.8064516129032258,0.8928571428571429,0.8461538461538461,0.847457627118644,3,0.5750000000000004,FastHGTConv,No Balancing
0.9372710622710623,0.8955223880597015,0.8620689655172413,0.8928571428571429,0.8974358974358975,0.8771929824561403,4,0.6400000000000003,FastHGTConv,No Balancing
0.9264069264069263,0.8507462686567164,0.7936507936507936,0.8771929824561403,0.8311688311688312,0.8333333333333334,5,0.6050000000000004,FastHGTConv,No Balancing
0.7777777777777779,0.6962962962962963,0.6176470588235294,0.7368421052631579,0.6666666666666666,0.672,1,0.4950000000000003,SGNN,No Balancing
