Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9225,0.0138,0.8734,0.0239,0.8322,0.0282,0.8761,0.0389,0.8715,0.0255,0.8532,0.0276,0.546,0.046
FastHGTConv,No Balancing,0.9342,0.0125,0.8837,0.0246,0.8388,0.0369,0.8972,0.0146,0.8739,0.0339,0.8668,0.0255,0.525,0.1831
FastHGTConv,ROS,0.929,0.0097,0.8778,0.0147,0.8334,0.0153,0.8866,0.0294,0.8715,0.0128,0.859,0.0179,0.611,0.1015
FastHGTConv,SMOTE,0.9244,0.0173,0.8778,0.024,0.8329,0.0416,0.89,0.0196,0.8688,0.0406,0.86,0.0242,0.562,0.0271
HeteroGATv2,CTGAN,0.9115,0.0177,0.8674,0.022,0.8109,0.0267,0.8937,0.0352,0.8483,0.0269,0.8499,0.0242,0.587,0.0148
HeteroGATv2,No Balancing,0.9182,0.0175,0.8837,0.0189,0.8335,0.0225,0.9042,0.0241,0.8689,0.0193,0.8673,0.0214,0.545,0.0444
HeteroGATv2,ROS,0.9122,0.0188,0.8808,0.0225,0.8392,0.0248,0.8865,0.0349,0.8765,0.0222,0.862,0.0262,0.578,0.0321
HeteroGATv2,SMOTE,0.9119,0.0179,0.8822,0.0215,0.8331,0.0263,0.9006,0.0273,0.8688,0.0234,0.8654,0.0242,0.562,0.0407
HyperTMO,CTGAN,0.817,0.043,0.7497,0.042,0.6964,0.0489,0.7201,0.0462,0.7711,0.0462,0.7077,0.0452,0.58,0.0154
HyperTMO,No Balancing,0.8177,0.0289,0.7631,0.0302,0.6921,0.0485,0.7978,0.0671,0.7377,0.0681,0.7388,0.0303,0.509,0.0185
HyperTMO,ROS,0.8251,0.0255,0.7571,0.0158,0.6848,0.0173,0.7835,0.0587,0.7377,0.0336,0.7298,0.0251,0.57,0.0272
HyperTMO,SMOTE,0.8235,0.0322,0.7587,0.0327,0.6984,0.043,0.7551,0.0332,0.7609,0.054,0.7249,0.0301,0.585,0.0257
MOGAT,CTGAN,0.9086,0.0197,0.8748,0.0265,0.8277,0.0398,0.89,0.0538,0.8637,0.0412,0.8566,0.0302,0.597,0.0671
MOGAT,No Balancing,0.9183,0.0156,0.8822,0.0251,0.8247,0.046,0.9182,0.0328,0.8559,0.0479,0.868,0.0252,0.549,0.0452
MOGAT,ROS,0.9227,0.0188,0.8748,0.0244,0.8309,0.036,0.8831,0.0194,0.8689,0.0319,0.856,0.0261,0.557,0.0311
MOGAT,SMOTE,0.9223,0.0182,0.8837,0.0146,0.8213,0.0231,0.9254,0.0236,0.8534,0.0235,0.87,0.0159,0.564,0.0816
RGCN,CTGAN,0.7985,0.0255,0.7482,0.0322,0.7015,0.0655,0.7229,0.062,0.7659,0.0972,0.7076,0.013,0.53,0.0146
RGCN,No Balancing,0.8226,0.0242,0.7631,0.0431,0.6908,0.0705,0.8155,0.0488,0.725,0.0993,0.7446,0.0283,0.488,0.0779
RGCN,ROS,0.8144,0.0273,0.7601,0.0301,0.6973,0.0576,0.7767,0.062,0.7482,0.0796,0.7315,0.0218,0.51,0.047
RGCN,SMOTE,0.8162,0.0253,0.7527,0.0338,0.6834,0.0347,0.7662,0.0476,0.743,0.0265,0.7223,0.0396,0.597,0.0175
SGNN,CTGAN,0.7985,0.0346,0.7586,0.0321,0.7005,0.0481,0.752,0.0614,0.7634,0.0585,0.7235,0.0353,0.493,0.0152
SGNN,No Balancing,0.8184,0.0258,0.7572,0.0346,0.6843,0.0438,0.7907,0.067,0.7326,0.0565,0.732,0.0376,0.527,0.0342
SGNN,ROS,0.8097,0.0312,0.7631,0.0257,0.7008,0.036,0.7661,0.0626,0.7609,0.0451,0.7305,0.0314,0.503,0.0271
SGNN,SMOTE,0.8203,0.0229,0.7765,0.0313,0.7044,0.0472,0.8156,0.0495,0.7481,0.0606,0.7544,0.029,0.501,0.036
VEGN,CTGAN,0.8143,0.0283,0.7572,0.0366,0.6929,0.039,0.7591,0.0584,0.7558,0.0358,0.724,0.0433,0.58,0.0641
VEGN,No Balancing,0.8221,0.0325,0.7616,0.0399,0.6983,0.0507,0.7695,0.0276,0.7558,0.0607,0.7315,0.0356,0.535,0.0341
VEGN,ROS,0.8208,0.0323,0.7601,0.0296,0.692,0.0425,0.7835,0.0416,0.743,0.0665,0.7334,0.0228,0.563,0.0309
VEGN,SMOTE,0.8185,0.03,0.7587,0.0318,0.6899,0.0437,0.7833,0.0509,0.7403,0.0676,0.732,0.0273,0.561,0.0378
