Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5450000000000003
MOGAT,No Balancing,0.5490000000000004
HyperTMO,No Balancing,0.5090000000000003
RGCN,No Balancing,0.48800000000000027
VEGN,No Balancing,0.5350000000000004
FastHGTConv,No Balancing,0.5250000000000004
SGNN,No Balancing,0.5270000000000004
HeteroGATv2,SMOTE,0.5620000000000003
MOGAT,SMOTE,0.5640000000000004
HyperTMO,SMOTE,0.5850000000000004
RGCN,SMOTE,0.5970000000000004
VEGN,SMOTE,0.5610000000000003
FastHGTConv,SMOTE,0.5620000000000003
SGNN,SMOTE,0.5010000000000003
HeteroGATv2,CTGAN,0.5870000000000003
MOGAT,CTGAN,0.5970000000000003
HyperTMO,CTGAN,0.5800000000000003
RGCN,CTGAN,0.5300000000000002
VEGN,CTGAN,0.5800000000000003
FastHGTConv,CTGAN,0.5460000000000003
SGNN,CTGAN,0.4930000000000002
HeteroGATv2,ROS,0.5780000000000003
MOGAT,ROS,0.5570000000000004
HyperTMO,ROS,0.5700000000000003
RGCN,ROS,0.5100000000000003
VEGN,ROS,0.5630000000000003
FastHGTConv,ROS,0.6110000000000003
SGNN,ROS,0.5030000000000003
