Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9153,0.0099,0.8719,0.0212,0.8092,0.0412,0.9148,0.0387,0.8404,0.0523,0.8575,0.0185,0.536,0.0416
FastHGTConv,No Balancing,0.9254,0.0235,0.8748,0.0221,0.8333,0.0376,0.8794,0.0076,0.8714,0.0331,0.8555,0.0229,0.482,0.046
FastHGTConv,SMOTE,0.9274,0.017,0.8867,0.0246,0.8421,0.0316,0.9005,0.047,0.8765,0.0332,0.8696,0.0293,0.484,0.0673
HeteroGATv2,CTGAN,0.8927,0.0451,0.8377,0.0688,0.7764,0.0849,0.8724,0.0545,0.8123,0.0883,0.8207,0.0679,0.54,0.0274
HeteroGATv2,No Balancing,0.9193,0.0185,0.8822,0.0257,0.8306,0.0406,0.9076,0.0483,0.8636,0.0442,0.8663,0.0286,0.49,0.0458
HeteroGATv2,SMOTE,0.9204,0.0198,0.8807,0.0249,0.8274,0.0516,0.9112,0.0361,0.8585,0.0556,0.8658,0.0235,0.516,0.0789
HyperTMO,CTGAN,0.8405,0.0364,0.79,0.0413,0.7381,0.0494,0.7768,0.0656,0.7994,0.0415,0.7562,0.0511,0.568,0.0638
HyperTMO,No Balancing,0.8132,0.0296,0.7482,0.0393,0.6821,0.0556,0.7625,0.112,0.7377,0.0697,0.7157,0.0548,0.528,0.0507
HyperTMO,SMOTE,0.8362,0.0344,0.7721,0.0378,0.7099,0.0464,0.7769,0.0666,0.7686,0.0444,0.7408,0.0461,0.548,0.0217
MOGAT,CTGAN,0.9107,0.0147,0.8659,0.0115,0.7992,0.023,0.9112,0.0309,0.8328,0.0296,0.851,0.0119,0.526,0.0344
MOGAT,No Balancing,0.9071,0.0404,0.8524,0.0631,0.7884,0.0883,0.904,0.0532,0.8149,0.1045,0.8395,0.0583,0.488,0.0606
MOGAT,SMOTE,0.9234,0.0163,0.8748,0.0202,0.8111,0.0369,0.9182,0.0302,0.8431,0.0405,0.8606,0.0203,0.464,0.0744
RGCN,CTGAN,0.8804,0.0303,0.8242,0.022,0.7428,0.0297,0.8934,0.0633,0.7738,0.0432,0.8097,0.0272,0.484,0.0541
RGCN,No Balancing,0.8892,0.0206,0.8301,0.0273,0.7621,0.0472,0.8724,0.0289,0.7996,0.053,0.8125,0.0246,0.464,0.0635
RGCN,SMOTE,0.8962,0.0264,0.8451,0.0396,0.7791,0.063,0.8935,0.0253,0.8098,0.0822,0.8306,0.0311,0.494,0.0942
SGNN,CTGAN,0.8874,0.0344,0.8302,0.0491,0.7747,0.0672,0.8478,0.0515,0.8176,0.0665,0.8084,0.0498,0.524,0.0422
SGNN,No Balancing,0.855,0.0246,0.8153,0.0376,0.7649,0.0552,0.8156,0.0479,0.8148,0.0579,0.7882,0.0385,0.52,0.0784
SGNN,SMOTE,0.8779,0.0222,0.8287,0.0305,0.7687,0.0273,0.8479,0.0715,0.815,0.026,0.8053,0.0396,0.526,0.0639
VEGN,CTGAN,0.914,0.0233,0.8688,0.0246,0.8148,0.0463,0.8968,0.0601,0.8481,0.0582,0.8518,0.0269,0.55,0.0339
VEGN,No Balancing,0.9197,0.0193,0.8733,0.0198,0.8111,0.0416,0.9149,0.0193,0.8431,0.0451,0.859,0.0171,0.488,0.0642
VEGN,SMOTE,0.9165,0.0241,0.8703,0.0263,0.8155,0.0548,0.9006,0.0329,0.8483,0.0579,0.8544,0.0242,0.49,0.0339
