Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.49,0.9239,0.869,0.8077,0.9,0.8469,0.8514
HeteroGATv2,No Balancing,CGGA,0.49,0.7779,0.6818,0.5359,0.8039,0.6141,0.6431
MOGAT,No Balancing,TCGA Test,0.488,0.9211,0.8512,0.7711,0.9143,0.8061,0.8366
MOGAT,No Balancing,CGGA,0.488,0.7489,0.6259,0.485,0.7941,0.5326,0.6022
HyperTMO,No Balancing,TCGA Test,0.528,0.828,0.7798,0.7463,0.7143,0.8265,0.7299
HyperTMO,No Balancing,CGGA,0.528,0.7181,0.6014,0.4639,0.7549,0.5163,0.5746
RGCN,No Balancing,TCGA Test,0.464,0.8789,0.744,0.6337,0.9143,0.6224,0.7485
RGCN,No Balancing,CGGA,0.464,0.6786,0.549,0.4237,0.7353,0.4457,0.5376
VEGN,No Balancing,TCGA Test,0.488,0.9206,0.8393,0.7654,0.8857,0.8061,0.8212
VEGN,No Balancing,CGGA,0.488,0.7442,0.6329,0.491,0.8039,0.538,0.6097
FastHGTConv,No Balancing,TCGA Test,0.482,0.8844,0.8452,0.775,0.8857,0.8163,0.8267
FastHGTConv,No Balancing,CGGA,0.482,0.6441,0.5629,0.435,0.7549,0.4565,0.552
SGNN,No Balancing,TCGA Test,0.52,0.8124,0.7262,0.6765,0.6571,0.7755,0.6667
SGNN,No Balancing,CGGA,0.52,0.7294,0.507,0.4101,0.8725,0.3043,0.558
HeteroGATv2,SMOTE,TCGA Test,0.516,0.893,0.8333,0.7838,0.8286,0.8367,0.8056
HeteroGATv2,SMOTE,CGGA,0.516,0.6955,0.6294,0.4868,0.7255,0.5761,0.5827
MOGAT,SMOTE,TCGA Test,0.464,0.8595,0.8214,0.7703,0.8143,0.8265,0.7917
MOGAT,SMOTE,CGGA,0.464,0.6971,0.6399,0.4967,0.7451,0.5815,0.5961
HyperTMO,SMOTE,TCGA Test,0.548,0.8328,0.6667,0.8182,0.2571,0.9592,0.3913
HyperTMO,SMOTE,CGGA,0.548,0.6824,0.6818,0.5567,0.5294,0.7663,0.5427
RGCN,SMOTE,TCGA Test,0.494,0.8283,0.744,0.6452,0.8571,0.6633,0.7362
RGCN,SMOTE,CGGA,0.494,0.6739,0.5385,0.4128,0.6961,0.4511,0.5182
VEGN,SMOTE,TCGA Test,0.49,0.9172,0.8333,0.75,0.9,0.7857,0.8182
VEGN,SMOTE,CGGA,0.49,0.7541,0.6573,0.5125,0.8039,0.5761,0.626
FastHGTConv,SMOTE,TCGA Test,0.484,0.8875,0.8274,0.7531,0.8714,0.7959,0.8079
FastHGTConv,SMOTE,CGGA,0.484,0.688,0.6434,0.5,0.6176,0.6576,0.5526
SGNN,SMOTE,TCGA Test,0.526,0.8617,0.7798,0.6737,0.9143,0.6837,0.7758
SGNN,SMOTE,CGGA,0.526,0.5813,0.5594,0.375,0.3529,0.6739,0.3636
HeteroGATv2,CTGAN,TCGA Test,0.54,0.8978,0.8095,0.7568,0.8,0.8163,0.7778
HeteroGATv2,CTGAN,CGGA,0.54,0.8156,0.5979,0.467,0.902,0.4293,0.6154
MOGAT,CTGAN,TCGA Test,0.526,0.9178,0.8452,0.7558,0.9286,0.7857,0.8333
MOGAT,CTGAN,CGGA,0.526,0.7252,0.6259,0.4852,0.8039,0.5272,0.6052
HyperTMO,CTGAN,TCGA Test,0.568,0.8481,0.7679,0.746,0.6714,0.8367,0.7068
HyperTMO,CTGAN,CGGA,0.568,0.6501,0.6678,0.531,0.5882,0.712,0.5581
RGCN,CTGAN,TCGA Test,0.484,0.8602,0.7798,0.6897,0.8571,0.7245,0.7643
RGCN,CTGAN,CGGA,0.484,0.6606,0.6294,0.4863,0.6961,0.5924,0.5726
VEGN,CTGAN,TCGA Test,0.55,0.9085,0.8274,0.7595,0.8571,0.8061,0.8054
VEGN,CTGAN,CGGA,0.55,0.7329,0.6783,0.5368,0.7157,0.6576,0.6134
FastHGTConv,CTGAN,TCGA Test,0.536,0.791,0.625,0.6842,0.1857,0.9388,0.2921
FastHGTConv,CTGAN,CGGA,0.536,0.3766,0.3566,0.3566,1.0,0.0,0.5258
SGNN,CTGAN,TCGA Test,0.524,0.8544,0.7738,0.6633,0.9286,0.6633,0.7738
SGNN,CTGAN,CGGA,0.524,0.562,0.6503,0.5179,0.2843,0.8533,0.3671
