Model,Pipeline,Dataset,AUC,Accuracy,Precision,Recall_1,Recall_0,F1,Threshold
DAHGNN,No Balancing,TCGA Test,0.9203,0.8452,0.7619,0.9143,0.7959,0.8312,0.43
DAHGNN,No Balancing,CGGA,0.7817,0.7273,0.6091,0.6569,0.7663,0.6321,0.43
DAHGNN,SMOTE,TCGA Test,0.9252,0.8571,0.8108,0.8571,0.8571,0.8333,0.61
DAHGNN,SMOTE,CGGA,0.7839,0.6993,0.569,0.6471,0.7283,0.6055,0.61
