Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5060000000000002
MOGAT,No Balancing,0.4860000000000001
HyperTMO,No Balancing,0.5240000000000002
RGCN,No Balancing,0.42600000000000005
VEGN,No Balancing,0.4520000000000001
FastHGTConv,No Balancing,0.4620000000000002
SGNN,No Balancing,0.5140000000000001
HeteroGATv2,SMOTE,0.4780000000000001
MOGAT,SMOTE,0.4940000000000001
HyperTMO,SMOTE,0.5420000000000001
RGCN,SMOTE,0.4940000000000002
VEGN,SMOTE,0.5200000000000002
FastHGTConv,SMOTE,0.5040000000000002
SGNN,SMOTE,0.5440000000000003
HeteroGATv2,CTGAN,0.5300000000000002
MOGAT,CTGAN,0.5480000000000003
HyperTMO,CTGAN,0.5380000000000003
RGCN,CTGAN,0.4900000000000002
VEGN,CTGAN,0.5500000000000004
FastHGTConv,CTGAN,0.5040000000000002
SGNN,CTGAN,0.5520000000000003
