Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9204,0.0175,0.8733,0.0228,0.8064,0.0358,0.9219,0.024,0.8379,0.0388,0.8599,0.0227,0.504,0.0378
FastHGTConv,No Balancing,0.9334,0.0121,0.8837,0.0155,0.8252,0.0203,0.9183,0.0275,0.8585,0.021,0.8691,0.018,0.462,0.0455
FastHGTConv,SMOTE,0.9284,0.0149,0.8838,0.0193,0.8277,0.0428,0.9182,0.045,0.8585,0.046,0.8692,0.0204,0.504,0.0607
HeteroGATv2,CTGAN,0.9242,0.0167,0.8748,0.0277,0.8123,0.0489,0.9184,0.0242,0.843,0.0532,0.8611,0.0259,0.53,0.0346
HeteroGATv2,No Balancing,0.927,0.0174,0.8867,0.0164,0.8377,0.0276,0.9076,0.0348,0.8713,0.0311,0.8707,0.0186,0.506,0.0434
HeteroGATv2,SMOTE,0.9262,0.0146,0.8808,0.0212,0.8267,0.0465,0.9112,0.0287,0.8585,0.0495,0.8657,0.0192,0.478,0.0618
HyperTMO,CTGAN,0.8128,0.033,0.7378,0.0409,0.6631,0.0509,0.7767,0.079,0.7092,0.0759,0.7131,0.0437,0.538,0.0148
HyperTMO,No Balancing,0.8195,0.0349,0.7587,0.0439,0.6984,0.0549,0.7555,0.0372,0.761,0.0573,0.7253,0.043,0.524,0.0114
HyperTMO,SMOTE,0.8236,0.0249,0.7556,0.0236,0.6863,0.0285,0.7732,0.033,0.7429,0.0327,0.7268,0.024,0.542,0.0045
MOGAT,CTGAN,0.9201,0.019,0.8793,0.0267,0.8157,0.0457,0.9254,0.0346,0.8456,0.0506,0.8661,0.0265,0.548,0.0327
MOGAT,No Balancing,0.9231,0.0179,0.8852,0.0203,0.8287,0.0325,0.9183,0.0328,0.8611,0.0339,0.8706,0.0218,0.486,0.0559
MOGAT,SMOTE,0.9237,0.019,0.8793,0.024,0.818,0.0352,0.9183,0.0244,0.8508,0.034,0.8649,0.0257,0.494,0.0498
RGCN,CTGAN,0.8923,0.0243,0.8272,0.0234,0.7513,0.0257,0.8833,0.0791,0.7867,0.0408,0.8101,0.0324,0.49,0.0367
RGCN,No Balancing,0.884,0.0284,0.8287,0.0289,0.739,0.0427,0.922,0.0368,0.7608,0.0538,0.8194,0.0259,0.426,0.0329
RGCN,SMOTE,0.879,0.0326,0.8317,0.045,0.7723,0.0574,0.8547,0.0594,0.815,0.0568,0.8104,0.0484,0.494,0.0537
SGNN,CTGAN,0.8763,0.0247,0.8167,0.0325,0.7569,0.0257,0.8301,0.0675,0.8073,0.0196,0.7912,0.0412,0.552,0.0545
SGNN,No Balancing,0.8807,0.0382,0.8332,0.0362,0.7778,0.0355,0.844,0.0602,0.8252,0.0296,0.8092,0.0435,0.514,0.0677
SGNN,SMOTE,0.8788,0.0359,0.8302,0.0457,0.7828,0.0677,0.8335,0.0476,0.8279,0.0697,0.8058,0.0454,0.544,0.0397
VEGN,CTGAN,0.9214,0.021,0.8763,0.031,0.8317,0.0599,0.8932,0.0635,0.8635,0.0662,0.8588,0.0339,0.55,0.0292
VEGN,No Balancing,0.9246,0.0138,0.8718,0.0311,0.8064,0.0474,0.9183,0.0209,0.838,0.0489,0.8581,0.0308,0.452,0.0476
VEGN,SMOTE,0.9232,0.018,0.8748,0.0251,0.8337,0.0454,0.8825,0.0691,0.8687,0.0536,0.8552,0.0307,0.52,0.0566
