Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.506,0.9235,0.8512,0.8082,0.8429,0.8571,0.8252
HeteroGATv2,No Balancing,CGGA,0.506,0.7587,0.6853,0.54,0.7941,0.625,0.6429
MOGAT,No Balancing,TCGA Test,0.486,0.9245,0.8571,0.7949,0.8857,0.8367,0.8378
MOGAT,No Balancing,CGGA,0.486,0.7171,0.6294,0.4873,0.7549,0.5598,0.5923
HyperTMO,No Balancing,TCGA Test,0.524,0.8117,0.75,0.7121,0.6714,0.8061,0.6912
HyperTMO,No Balancing,CGGA,0.524,0.7009,0.6538,0.5118,0.6373,0.663,0.5677
RGCN,No Balancing,TCGA Test,0.426,0.8837,0.7619,0.6531,0.9143,0.6531,0.7619
RGCN,No Balancing,CGGA,0.426,0.6985,0.5,0.4028,0.8333,0.3152,0.5431
VEGN,No Balancing,TCGA Test,0.452,0.914,0.8571,0.7805,0.9143,0.8163,0.8421
VEGN,No Balancing,CGGA,0.452,0.7239,0.6259,0.485,0.7941,0.5326,0.6022
FastHGTConv,No Balancing,TCGA Test,0.462,0.8722,0.8095,0.7436,0.8286,0.7959,0.7838
FastHGTConv,No Balancing,CGGA,0.462,0.6875,0.6119,0.4706,0.7059,0.5598,0.5647
SGNN,No Balancing,TCGA Test,0.514,0.8603,0.7798,0.6854,0.8714,0.7143,0.7673
SGNN,No Balancing,CGGA,0.514,0.6757,0.4231,0.3802,0.9804,0.1141,0.5479
HeteroGATv2,SMOTE,TCGA Test,0.478,0.9061,0.8333,0.7442,0.9143,0.7755,0.8205
HeteroGATv2,SMOTE,CGGA,0.478,0.7673,0.6259,0.4859,0.8431,0.5054,0.6165
MOGAT,SMOTE,TCGA Test,0.494,0.9157,0.8571,0.7805,0.9143,0.8163,0.8421
MOGAT,SMOTE,CGGA,0.494,0.7277,0.6469,0.5032,0.7647,0.5815,0.607
HyperTMO,SMOTE,TCGA Test,0.542,0.8165,0.7321,0.6712,0.7,0.7551,0.6853
HyperTMO,SMOTE,CGGA,0.542,0.6597,0.6678,0.5299,0.6078,0.7011,0.5662
RGCN,SMOTE,TCGA Test,0.494,0.8694,0.7857,0.6848,0.9,0.7041,0.7778
RGCN,SMOTE,CGGA,0.494,0.7221,0.549,0.4286,0.7941,0.413,0.5567
VEGN,SMOTE,TCGA Test,0.52,0.9188,0.8452,0.7683,0.9,0.8061,0.8289
VEGN,SMOTE,CGGA,0.52,0.7244,0.6329,0.4903,0.7451,0.5707,0.5914
FastHGTConv,SMOTE,TCGA Test,0.504,0.9074,0.8393,0.7654,0.8857,0.8061,0.8212
FastHGTConv,SMOTE,CGGA,0.504,0.7671,0.6888,0.5455,0.7647,0.6467,0.6367
SGNN,SMOTE,TCGA Test,0.544,0.8414,0.7679,0.6667,0.8857,0.6837,0.7607
SGNN,SMOTE,CGGA,0.544,0.6099,0.5315,0.3769,0.4804,0.5598,0.4224
HeteroGATv2,CTGAN,TCGA Test,0.53,0.9063,0.8452,0.7895,0.8571,0.8367,0.8219
HeteroGATv2,CTGAN,CGGA,0.53,0.8092,0.6049,0.4709,0.8725,0.4565,0.6117
MOGAT,CTGAN,TCGA Test,0.548,0.9178,0.8452,0.7683,0.9,0.8061,0.8289
MOGAT,CTGAN,CGGA,0.548,0.7476,0.6853,0.5484,0.6667,0.6957,0.6018
HyperTMO,CTGAN,TCGA Test,0.538,0.8243,0.7381,0.6625,0.7571,0.7245,0.7067
HyperTMO,CTGAN,CGGA,0.538,0.6937,0.4196,0.3655,0.8529,0.1793,0.5118
RGCN,CTGAN,TCGA Test,0.49,0.884,0.7738,0.6739,0.8857,0.6939,0.7654
RGCN,CTGAN,CGGA,0.49,0.7046,0.514,0.4051,0.7745,0.3696,0.532
VEGN,CTGAN,TCGA Test,0.55,0.901,0.8393,0.7654,0.8857,0.8061,0.8212
VEGN,CTGAN,CGGA,0.55,0.735,0.6783,0.5385,0.6863,0.6739,0.6034
FastHGTConv,CTGAN,TCGA Test,0.504,0.8771,0.8095,0.7021,0.9429,0.7143,0.8049
FastHGTConv,CTGAN,CGGA,0.504,0.7028,0.5699,0.4444,0.8235,0.4293,0.5773
SGNN,CTGAN,TCGA Test,0.552,0.8475,0.7798,0.6854,0.8714,0.7143,0.7673
SGNN,CTGAN,CGGA,0.552,0.6973,0.4685,0.3975,0.951,0.2011,0.5607
