Metric,Value
CV_Avg_Accuracy,0.8681180596142607
CV_Avg_Precision,0.8741001918702047
CV_Avg_Recall,0.8681180596142607
CV_Avg_F1,0.8674831571420887
Validation_Accuracy,0.875
Test_Accuracy,0.8690476190476191
External_Accuracy,0.6853146853146853
Validation_F1,0.8757529852076279
Test_F1,0.8699633699633699
External_F1,0.6919204346233534
