Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.41000000000000014
MOGAT,No Balancing,0.49200000000000016
HyperTMO,No Balancing,0.41000000000000003
RGCN,No Balancing,0.43800000000000006
VEGN,No Balancing,0.4780000000000001
FastHGTConv,No Balancing,0.45400000000000007
SGNN,No Balancing,0.4520000000000001
HeteroGATv2,SMOTE,0.5060000000000002
MOGAT,SMOTE,0.5340000000000003
HyperTMO,SMOTE,0.5280000000000002
RGCN,SMOTE,0.4620000000000001
VEGN,SMOTE,0.4780000000000002
FastHGTConv,SMOTE,0.4820000000000002
SGNN,SMOTE,0.5080000000000002
HeteroGATv2,CTGAN,0.5360000000000003
MOGAT,CTGAN,0.5440000000000003
HyperTMO,CTGAN,0.5320000000000003
RGCN,CTGAN,0.6000000000000003
VEGN,CTGAN,0.5580000000000002
FastHGTConv,CTGAN,0.5420000000000001
SGNN,CTGAN,0.5620000000000003
HeteroGATv2,ROS,0.4860000000000002
MOGAT,ROS,0.5400000000000003
HyperTMO,ROS,0.5060000000000002
RGCN,ROS,0.5060000000000002
VEGN,ROS,0.4940000000000002
FastHGTConv,ROS,0.4980000000000002
SGNN,ROS,0.5460000000000003
