Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HeteroGATv2,No Balancing,IDH1,Gene,0.2788483965014576,0.9209912536443148
HeteroGATv2,No Balancing,TP53,Gene,0.007201166180757923,0.9209912536443148
HeteroGATv2,No Balancing,ATRX,Gene,0.00897959183673459,0.9209912536443148
HeteroGATv2,No Balancing,PTEN,Gene,0.0020116618075801005,0.9209912536443148
HeteroGATv2,No Balancing,EGFR,Gene,0.006166180758017415,0.9209912536443148
HeteroGATv2,No Balancing,CIC,Gene,0.006195335276967817,0.9209912536443148
HeteroGATv2,No Balancing,MUC16,Gene,-0.002609329446064268,0.9209912536443148
HeteroGATv2,No Balancing,PIK3CA,Gene,0.010889212827988225,0.9209912536443148
HeteroGATv2,No Balancing,NF1,Gene,-0.0019679300291545964,0.9209912536443148
HeteroGATv2,No Balancing,PIK3R1,Gene,0.0026239067055392694,0.9209912536443148
HeteroGATv2,No Balancing,FUBP1,Gene,0.0007580174927112826,0.9209912536443148
HeteroGATv2,No Balancing,RB1,Gene,0.0008454810495625908,0.9209912536443148
HeteroGATv2,No Balancing,NOTCH1,Gene,0.014562682215743371,0.9209912536443148
HeteroGATv2,No Balancing,BCOR,Gene,0.00010204081632646523,0.9209912536443148
HeteroGATv2,No Balancing,CSMD3,Gene,0.003396501457725842,0.9209912536443148
HeteroGATv2,No Balancing,SMARCA4,Gene,0.0022886297376092713,0.9209912536443148
HeteroGATv2,No Balancing,GRIN2A,Gene,0.0036443148688045657,0.9209912536443148
HeteroGATv2,No Balancing,IDH2,Gene,0.005568513119533458,0.9209912536443148
HeteroGATv2,No Balancing,FAT4,Gene,-0.0017638483965015327,0.9209912536443148
HeteroGATv2,No Balancing,PDGFRA,Gene,0.0021428571428570463,0.9209912536443148
HeteroGATv2,No Balancing,Age_at_diagnosis,Clinical,0.03473760932944595,0.9209912536443148
HeteroGATv2,No Balancing,Gender,Clinical,0.001967930029154419,0.9209912536443148
HeteroGATv2,No Balancing,Race,Clinical,0.005379008746355596,0.9209912536443148
HeteroGATv2,SMOTE,IDH1,Gene,0.32553935860058303,0.9201166180758017
HeteroGATv2,SMOTE,TP53,Gene,0.00234693877551011,0.9201166180758017
