Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9086,0.0235,0.8643,0.0209,0.7921,0.0363,0.9219,0.0392,0.8225,0.0426,0.8512,0.0208,0.542,0.0192
FastHGTConv,No Balancing,0.9233,0.0241,0.8778,0.0196,0.8212,0.0435,0.9113,0.0334,0.8535,0.0467,0.8627,0.0178,0.454,0.0288
FastHGTConv,ROS,0.9242,0.0137,0.8733,0.0192,0.8123,0.0368,0.9113,0.0182,0.8458,0.0395,0.8584,0.018,0.498,0.0444
FastHGTConv,SMOTE,0.9243,0.0183,0.8733,0.0168,0.8077,0.0282,0.9185,0.0151,0.8406,0.0294,0.8592,0.0162,0.482,0.0466
HeteroGATv2,CTGAN,0.9176,0.0248,0.8718,0.0162,0.8009,0.0187,0.9254,0.0345,0.8329,0.0207,0.8584,0.019,0.536,0.0365
HeteroGATv2,No Balancing,0.9358,0.0134,0.8822,0.0164,0.8092,0.0221,0.943,0.0345,0.8379,0.0277,0.8706,0.0181,0.41,0.0731
HeteroGATv2,ROS,0.9242,0.025,0.8748,0.0267,0.8018,0.0414,0.936,0.0273,0.8303,0.0458,0.8631,0.026,0.486,0.0559
HeteroGATv2,SMOTE,0.9174,0.0271,0.8733,0.0254,0.8077,0.0339,0.9182,0.0374,0.8406,0.0338,0.859,0.028,0.506,0.0568
HyperTMO,CTGAN,0.9051,0.0267,0.8614,0.0188,0.7816,0.0312,0.9326,0.0193,0.8098,0.0377,0.85,0.0169,0.532,0.0217
HyperTMO,No Balancing,0.9171,0.0248,0.8658,0.0121,0.7988,0.0364,0.9148,0.0426,0.8302,0.0465,0.8515,0.0099,0.41,0.0548
HyperTMO,ROS,0.9047,0.0302,0.8673,0.0164,0.7927,0.0305,0.929,0.0334,0.8225,0.035,0.8548,0.0172,0.506,0.0114
HyperTMO,SMOTE,0.9135,0.0226,0.8674,0.0179,0.8064,0.0368,0.9041,0.0303,0.8406,0.0414,0.8516,0.0168,0.528,0.0148
MOGAT,CTGAN,0.9121,0.0313,0.8718,0.0214,0.8,0.0326,0.9289,0.0284,0.8302,0.0363,0.8592,0.0219,0.544,0.0167
MOGAT,No Balancing,0.9251,0.0206,0.8822,0.0239,0.8255,0.0496,0.9183,0.0275,0.8559,0.053,0.8682,0.0219,0.492,0.0593
MOGAT,ROS,0.9248,0.0209,0.8808,0.0231,0.8178,0.0441,0.9254,0.0154,0.8483,0.0452,0.8676,0.022,0.54,0.0374
MOGAT,SMOTE,0.9319,0.0155,0.8867,0.0163,0.839,0.0332,0.9076,0.06,0.8713,0.0382,0.8702,0.0217,0.534,0.0902
RGCN,CTGAN,0.9138,0.0247,0.8719,0.0259,0.8325,0.0709,0.8793,0.0272,0.8662,0.0608,0.8532,0.0243,0.6,0.0406
RGCN,No Balancing,0.9142,0.0283,0.8688,0.0412,0.8029,0.056,0.9148,0.0344,0.8356,0.052,0.8548,0.0434,0.438,0.0638
RGCN,ROS,0.908,0.0243,0.8525,0.0312,0.7835,0.0546,0.9044,0.0385,0.8151,0.0634,0.8381,0.0295,0.506,0.0321
RGCN,SMOTE,0.9206,0.0205,0.8733,0.0193,0.8095,0.0293,0.9147,0.0238,0.8431,0.0297,0.8586,0.0205,0.462,0.068
SGNN,CTGAN,0.922,0.0197,0.8763,0.0238,0.8189,0.0444,0.9111,0.0459,0.8507,0.0501,0.8612,0.0251,0.562,0.0691
SGNN,No Balancing,0.9197,0.0196,0.8674,0.0158,0.7932,0.0315,0.929,0.0252,0.8227,0.0395,0.8551,0.0133,0.452,0.0773
SGNN,ROS,0.9186,0.0161,0.8673,0.018,0.8125,0.0412,0.8935,0.0222,0.8483,0.042,0.8502,0.016,0.546,0.0865
SGNN,SMOTE,0.9119,0.0187,0.8689,0.0207,0.7971,0.0302,0.9254,0.0366,0.8276,0.0381,0.8559,0.0212,0.508,0.0606
VEGN,CTGAN,0.9183,0.026,0.8644,0.034,0.802,0.0791,0.915,0.0438,0.8279,0.0827,0.8515,0.0296,0.558,0.0691
VEGN,No Balancing,0.922,0.0224,0.8733,0.0148,0.8186,0.0344,0.9004,0.0354,0.8534,0.0371,0.8567,0.0157,0.478,0.0295
VEGN,ROS,0.9146,0.0218,0.8673,0.0222,0.7976,0.0317,0.9184,0.0164,0.8303,0.0321,0.8535,0.0227,0.494,0.0434
VEGN,SMOTE,0.9227,0.0134,0.8763,0.0156,0.8104,0.0376,0.9254,0.0344,0.8405,0.0445,0.863,0.0135,0.478,0.1008
