iter	Logloss
0	0.6863920656
1	0.6806899815
2	0.6742445018
3	0.6676710991
4	0.6605537101
5	0.6550213539
6	0.6493520867
7	0.6443504961
8	0.6383747467
9	0.6321973409
10	0.626258432
11	0.6200042098
12	0.6147391437
13	0.6104433765
14	0.6059576583
15	0.6000417422
16	0.5950724981
17	0.590588243
18	0.5863556535
19	0.5820025091
20	0.5777081529
21	0.5734668888
22	0.5687953479
23	0.5640903107
24	0.5602685066
25	0.5564946736
26	0.5526436584
27	0.5492023834
28	0.5461690197
29	0.5423175341
30	0.5379945938
31	0.5344740463
32	0.5298615547
33	0.526461144
34	0.5232639051
35	0.5194544335
36	0.5164188751
37	0.5135529923
38	0.5108567329
39	0.5080610824
40	0.5050034719
41	0.5018874913
42	0.4992156355
43	0.4962983327
44	0.4925968745
45	0.4894482861
46	0.4868368384
47	0.4839840197
48	0.4812711428
49	0.4781356184
50	0.4760257251
51	0.4740935025
52	0.4717038298
53	0.4683337277
54	0.4661220916
55	0.463692652
56	0.4611267717
57	0.4589719903
58	0.4560273053
59	0.4538344292
60	0.4515783232
61	0.4488118838
62	0.4466839098
63	0.4448192022
64	0.4430582229
65	0.4407808487
66	0.4387821563
67	0.4367659059
68	0.4345710702
69	0.4327079041
70	0.4309272766
71	0.4288403498
72	0.4270932707
73	0.4253742793
74	0.4232528896
75	0.4211874139
76	0.4196324022
77	0.4180591008
78	0.415660414
79	0.413994959
80	0.4121872628
81	0.410320491
82	0.4090995527
83	0.4069821606
84	0.4050972298
85	0.4031825392
86	0.4016000931
87	0.4002205574
88	0.3985948432
89	0.3972286068
90	0.3961203588
91	0.3950750795
92	0.3939990997
93	0.3928194438
94	0.391177295
95	0.3898208043
96	0.3885414437
97	0.3874005879
98	0.3864748707
99	0.3855544312
100	0.384119687
101	0.3831653856
102	0.3824078024
103	0.3812028284
104	0.3802617478
105	0.3788523217
106	0.3777393184
107	0.3768846433
108	0.3759429618
109	0.374786377
110	0.3736338681
111	0.372763072
112	0.3719018126
113	0.3710426696
114	0.3700356157
115	0.368888045
116	0.3682126607
117	0.367268497
118	0.3662654668
119	0.3656501247
120	0.3646505695
121	0.3639450596
122	0.3627857051
123	0.3620912996
124	0.3614969907
125	0.3604270203
126	0.3594946665
127	0.3587470904
128	0.3581295013
129	0.3575171379
130	0.3566843843
131	0.3556739076
132	0.3550000648
133	0.3544017583
134	0.3535608265
135	0.3526878357
136	0.352021152
137	0.3513007752
138	0.3506069183
139	0.3500444856
140	0.3492333138
141	0.3485895967
142	0.3480635604
143	0.3471614367
144	0.3465104822
145	0.3458445823
146	0.3452949524
147	0.3443453018
148	0.3437521686
149	0.343224643
150	0.3427990953
151	0.3422408431
152	0.3417635617
153	0.3413481516
154	0.3408901789
155	0.3402486827
156	0.3393393477
157	0.3387572145
158	0.3382417862
159	0.3377700179
160	0.3370141069
161	0.3367089049
162	0.3362002961
163	0.3357178936
164	0.3351320763
165	0.3345306867
166	0.3341601385
167	0.3335423927
168	0.332972409
169	0.3323344662
170	0.3318517502
171	0.3312993246
172	0.3307087781
173	0.3302160812
174	0.3296566271
175	0.3290593918
176	0.328609963
177	0.3281952322
178	0.3276934689
179	0.3271824824
180	0.3268018226
181	0.3261596471
182	0.3257142158
183	0.3251501632
184	0.3247559691
185	0.3243975182
186	0.3240304189
187	0.3235878095
188	0.323113951
189	0.32261676
190	0.3223595293
191	0.322011007
192	0.3214092516
193	0.3209887727
194	0.3204612732
195	0.3200350722
196	0.3194012054
197	0.3190651463
198	0.318595834
199	0.318139638
200	0.3176890857
201	0.3173416347
202	0.3167149531
203	0.3162094796
204	0.3157514546
205	0.3152802872
206	0.3150337428
207	0.314683679
208	0.3142638011
209	0.3138878182
210	0.3135875545
211	0.3131962084
212	0.3127554541
213	0.3124358295
214	0.3119276909
215	0.3115682733
216	0.310984703
217	0.3106085372
218	0.3102132458
219	0.3099856965
220	0.3098256359
221	0.3094688311
222	0.3090815609
223	0.3087011886
224	0.3084356752
225	0.3081614089
226	0.3077863406
227	0.3075543756
228	0.3072498269
229	0.3069739146
230	0.3067764387
231	0.3064711584
232	0.3062315902
233	0.306076494
234	0.3056907131
235	0.3051999236
236	0.3048508265
237	0.3046582366
238	0.3043527211
239	0.3039744651
240	0.3035635752
241	0.3032459625
242	0.3028562885
243	0.3025306545
244	0.3023109959
245	0.3019501673
246	0.3015702653
247	0.3012205673
248	0.300873064
249	0.3005497031
250	0.3003127738
251	0.3000770203
252	0.2996830091
253	0.2995388083
254	0.2992400078
255	0.2990661517
256	0.2988045052
257	0.2984922749
258	0.2981757073
259	0.2977778552
260	0.2974553043
261	0.2972134629
262	0.2968187202
263	0.296578342
264	0.2962956886
265	0.2960924645
266	0.295694717
267	0.2953164349
268	0.2948993787
269	0.2946337086
270	0.2943890193
271	0.2941315011
272	0.293981317
273	0.2936407638
274	0.2934761309
275	0.2932350995
276	0.2930604334
277	0.2927293124
278	0.2925124756
279	0.292352807
280	0.2921616019
281	0.2918556161
282	0.2917212395
283	0.291469574
284	0.2910656602
285	0.2908407237
286	0.2905493697
287	0.290360098
288	0.2901540521
