Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.416,0.872,0.8214,0.7439,0.8714,0.7857,0.8026
HeteroGATv2,No Balancing,CGGA,0.416,0.6835,0.6329,0.4876,0.5784,0.663,0.5291
MOGAT,No Balancing,TCGA Test,0.494,0.9125,0.8571,0.7875,0.9,0.8265,0.84
MOGAT,No Balancing,CGGA,0.494,0.7416,0.6469,0.503,0.8137,0.5543,0.6217
HyperTMO,No Balancing,TCGA Test,0.474,0.8299,0.6905,0.7812,0.3571,0.9286,0.4902
HyperTMO,No Balancing,CGGA,0.474,0.6749,0.472,0.3839,0.7941,0.2935,0.5176
RGCN,No Balancing,TCGA Test,0.494,0.8147,0.7083,0.6154,0.8,0.6429,0.6957
RGCN,No Balancing,CGGA,0.494,0.6004,0.3566,0.3566,1.0,0.0,0.5258
VEGN,No Balancing,TCGA Test,0.448,0.901,0.8214,0.7326,0.9,0.7653,0.8077
VEGN,No Balancing,CGGA,0.448,0.7229,0.6538,0.5099,0.7549,0.5978,0.6087
FastHGTConv,No Balancing,TCGA Test,0.558,0.9276,0.869,0.8,0.9143,0.8367,0.8533
FastHGTConv,No Balancing,CGGA,0.558,0.736,0.5804,0.4536,0.8627,0.4239,0.5946
SGNN,No Balancing,TCGA Test,0.456,0.8074,0.744,0.6517,0.8286,0.6837,0.7296
SGNN,No Balancing,CGGA,0.456,0.6226,0.3566,0.3566,1.0,0.0,0.5258
HeteroGATv2,SMOTE,TCGA Test,0.504,0.9191,0.8393,0.7867,0.8429,0.8367,0.8138
HeteroGATv2,SMOTE,CGGA,0.504,0.7699,0.5874,0.4596,0.8922,0.4185,0.6067
MOGAT,SMOTE,TCGA Test,0.516,0.8933,0.8333,0.7763,0.8429,0.8265,0.8082
MOGAT,SMOTE,CGGA,0.516,0.6698,0.5734,0.4485,0.8529,0.4185,0.5878
HyperTMO,SMOTE,TCGA Test,0.52,0.823,0.744,0.7015,0.6714,0.7959,0.6861
HyperTMO,SMOTE,CGGA,0.52,0.6736,0.6329,0.4884,0.6176,0.6413,0.5455
RGCN,SMOTE,TCGA Test,0.494,0.8166,0.7262,0.74,0.5286,0.8673,0.6167
