Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HeteroGATv2,CTGAN,IDH2,Gene,0.00532069970845479,0.9048104956268221
HeteroGATv2,CTGAN,FAT4,Gene,0.0013265306122449139,0.9048104956268221
HeteroGATv2,CTGAN,PDGFRA,Gene,0.003615160349854196,0.9048104956268221
HeteroGATv2,CTGAN,Age_at_diagnosis,Clinical,0.07721574344023321,0.9048104956268221
HeteroGATv2,CTGAN,Gender,Clinical,-0.002784256559766762,0.9048104956268221
HeteroGATv2,CTGAN,Race,Clinical,0.0007725947521865839,0.9048104956268221
HeteroGATv2,ROS,IDH1,Gene,0.2547230320699708,0.9199708454810496
HeteroGATv2,ROS,TP53,Gene,0.006122448979591822,0.9199708454810496
HeteroGATv2,ROS,ATRX,Gene,0.0013848396501457971,0.9199708454810496
HeteroGATv2,ROS,PTEN,Gene,0.005553935860058312,0.9199708454810496
HeteroGATv2,ROS,EGFR,Gene,0.007696793002915448,0.9199708454810496
HeteroGATv2,ROS,CIC,Gene,0.010262390670553933,0.9199708454810496
HeteroGATv2,ROS,MUC16,Gene,0.0019825072886297647,0.9199708454810496
HeteroGATv2,ROS,PIK3CA,Gene,0.004446064139941697,0.9199708454810496
HeteroGATv2,ROS,NF1,Gene,-0.0065160349854227586,0.9199708454810496
HeteroGATv2,ROS,PIK3R1,Gene,0.001793002915451891,0.9199708454810496
HeteroGATv2,ROS,FUBP1,Gene,0.003119533527696805,0.9199708454810496
HeteroGATv2,ROS,RB1,Gene,0.0018513119533527522,0.9199708454810496
HeteroGATv2,ROS,NOTCH1,Gene,0.008061224489795914,0.9199708454810496
HeteroGATv2,ROS,BCOR,Gene,-0.00039358600583085936,0.9199708454810496
HeteroGATv2,ROS,CSMD3,Gene,0.0028279883381924333,0.9199708454810496
HeteroGATv2,ROS,SMARCA4,Gene,0.0020845481049562966,0.9199708454810496
HeteroGATv2,ROS,GRIN2A,Gene,0.0014577259475218817,0.9199708454810496
HeteroGATv2,ROS,IDH2,Gene,0.004285714285714282,0.9199708454810496
HeteroGATv2,ROS,FAT4,Gene,0.0005685131195335535,0.9199708454810496
HeteroGATv2,ROS,PDGFRA,Gene,-0.0007871720116617853,0.9199708454810496
HeteroGATv2,ROS,Age_at_diagnosis,Clinical,0.041326530612244894,0.9199708454810496
HeteroGATv2,ROS,Gender,Clinical,0.0048833819241982605,0.9199708454810496
HeteroGATv2,ROS,Race,Clinical,0.0034548104956268035,0.9199708454810496
MOGAT,No Balancing,IDH1,Gene,0.29967930029154527,0.9125364431486881
MOGAT,No Balancing,TP53,Gene,0.01059766763848402,0.9125364431486881
MOGAT,No Balancing,ATRX,Gene,0.017769679300291573,0.9125364431486881
MOGAT,No Balancing,PTEN,Gene,0.004081632653061262,0.9125364431486881
MOGAT,No Balancing,EGFR,Gene,0.0020116618075802007,0.9125364431486881
MOGAT,No Balancing,CIC,Gene,0.01413994169096212,0.9125364431486881
MOGAT,No Balancing,MUC16,Gene,0.0016180758017493412,0.9125364431486881
MOGAT,No Balancing,PIK3CA,Gene,0.012973760932944667,0.9125364431486881
MOGAT,No Balancing,NF1,Gene,-0.003556851311953324,0.9125364431486881
MOGAT,No Balancing,PIK3R1,Gene,-0.0019679300291545075,0.9125364431486881
MOGAT,No Balancing,FUBP1,Gene,0.0038192419825073152,0.9125364431486881
MOGAT,No Balancing,RB1,Gene,-0.001793002915451869,0.9125364431486881
MOGAT,No Balancing,NOTCH1,Gene,0.01803206997084551,0.9125364431486881
MOGAT,No Balancing,BCOR,Gene,-0.0038338192419824614,0.9125364431486881
MOGAT,No Balancing,CSMD3,Gene,0.0023469387755102435,0.9125364431486881
MOGAT,No Balancing,SMARCA4,Gene,0.0005685131195335535,0.9125364431486881
MOGAT,No Balancing,GRIN2A,Gene,0.0015451895043732233,0.9125364431486881
MOGAT,No Balancing,IDH2,Gene,0.009868804664723053,0.9125364431486881
MOGAT,No Balancing,FAT4,Gene,-0.00023323615160345535,0.9125364431486881
MOGAT,No Balancing,PDGFRA,Gene,0.00021865889212833168,0.9125364431486881
MOGAT,No Balancing,Age_at_diagnosis,Clinical,0.030685131195335315,0.9125364431486881
MOGAT,No Balancing,Gender,Clinical,-0.002696793002915421,0.9125364431486881
MOGAT,No Balancing,Race,Clinical,0.007696793002915514,0.9125364431486881
MOGAT,SMOTE,IDH1,Gene,0.26113702623906704,0.8932944606413994
MOGAT,SMOTE,TP53,Gene,0.007011661807580139,0.8932944606413994
MOGAT,SMOTE,ATRX,Gene,0.03588921282798833,0.8932944606413994
MOGAT,SMOTE,PTEN,Gene,0.006166180758017436,0.8932944606413994
MOGAT,SMOTE,EGFR,Gene,0.0014723032069970388,0.8932944606413994
MOGAT,SMOTE,CIC,Gene,0.010276967930029102,0.8932944606413994
MOGAT,SMOTE,MUC16,Gene,-0.009460641399416936,0.8932944606413994
MOGAT,SMOTE,PIK3CA,Gene,0.005830903790087427,0.8932944606413994
MOGAT,SMOTE,NF1,Gene,-0.003833819241982561,0.8932944606413994
MOGAT,SMOTE,PIK3R1,Gene,0.00023323615160346644,0.8932944606413994
MOGAT,SMOTE,FUBP1,Gene,-0.0003790087463557357,0.8932944606413994
MOGAT,SMOTE,RB1,Gene,-0.0005976676384840118,0.8932944606413994
MOGAT,SMOTE,NOTCH1,Gene,0.021428571428571398,0.8932944606413994
MOGAT,SMOTE,BCOR,Gene,-0.007419825072886332,0.8932944606413994
MOGAT,SMOTE,CSMD3,Gene,0.00326530612244893,0.8932944606413994
MOGAT,SMOTE,SMARCA4,Gene,-0.0044897959183673895,0.8932944606413994
