auc,accuracy,precision,recall,recall_0,f1,fold,threshold,Model,Pipeline
0.904408457040036,0.8814814814814815,0.847457627118644,0.8771929824561403,0.8846153846153846,0.8620689655172413,1,0.49000000000000027,HeteroGATv2,No Balancing
0.901098901098901,0.8731343283582089,0.819672131147541,0.8928571428571429,0.8589743589743589,0.8547008547008547,2,0.5050000000000003,HeteroGATv2,No Balancing
0.8887362637362637,0.8432835820895522,0.7536231884057971,0.9285714285714286,0.782051282051282,0.832,3,0.47500000000000026,HeteroGATv2,No Balancing
0.9363553113553114,0.8805970149253731,0.8225806451612904,0.9107142857142857,0.8589743589743589,0.864406779661017,4,0.5550000000000004,HeteroGATv2,No Balancing
0.9254955570745045,0.8805970149253731,0.8059701492537313,0.9473684210526315,0.8311688311688312,0.8709677419354839,5,0.5550000000000004,HeteroGATv2,No Balancing
0.9212775528565003,0.8888888888888888,0.85,0.8947368421052632,0.8846153846153846,0.8717948717948718,1,0.49000000000000027,MOGAT,No Balancing
0.9194139194139195,0.8731343283582089,0.819672131147541,0.8928571428571429,0.8589743589743589,0.8547008547008547,2,0.5500000000000003,MOGAT,No Balancing
0.8910256410256411,0.8656716417910447,0.8064516129032258,0.8928571428571429,0.8461538461538461,0.847457627118644,3,0.5950000000000004,MOGAT,No Balancing
0.934065934065934,0.8880597014925373,0.8360655737704918,0.9107142857142857,0.8717948717948718,0.8717948717948718,4,0.5800000000000003,MOGAT,No Balancing
0.9268626110731374,0.8731343283582089,0.8125,0.9122807017543859,0.8441558441558441,0.859504132231405,5,0.5850000000000004,MOGAT,No Balancing
0.8101664417453891,0.762962962962963,0.7192982456140351,0.7192982456140351,0.7948717948717948,0.7192982456140351,1,0.5150000000000003,HyperTMO,No Balancing
0.8434065934065935,0.7910447761194029,0.7058823529411765,0.8571428571428571,0.7435897435897436,0.7741935483870968,2,0.5350000000000004,HyperTMO,No Balancing
0.8184523809523809,0.7761194029850746,0.7241379310344828,0.75,0.7948717948717948,0.7368421052631579,3,0.5150000000000003,HyperTMO,No Balancing
0.8688186813186813,0.7910447761194029,0.7121212121212122,0.8392857142857143,0.7564102564102564,0.7704918032786885,4,0.5150000000000003,HyperTMO,No Balancing
0.8441558441558442,0.7835820895522388,0.7058823529411765,0.8421052631578947,0.7402597402597403,0.768,5,0.5200000000000002,HyperTMO,No Balancing
0.7753036437246964,0.6814814814814815,0.5972222222222222,0.7543859649122807,0.6282051282051282,0.6666666666666666,1,0.4350000000000002,RGCN,No Balancing
0.8445512820512822,0.7985074626865671,0.7457627118644068,0.7857142857142857,0.8076923076923077,0.7652173913043478,2,0.5500000000000003,RGCN,No Balancing
0.821886446886447,0.7686567164179104,0.6923076923076923,0.8035714285714286,0.7435897435897436,0.743801652892562,3,0.5800000000000003,RGCN,No Balancing
0.8493589743589743,0.8059701492537313,0.8571428571428571,0.6428571428571429,0.9230769230769231,0.7346938775510204,4,0.48000000000000026,RGCN,No Balancing
0.8300296195033038,0.7835820895522388,0.7121212121212122,0.8245614035087719,0.7532467532467533,0.7642276422764228,5,0.48500000000000026,RGCN,No Balancing
0.7724921277552856,0.6888888888888889,0.5974025974025974,0.8070175438596491,0.6025641025641025,0.6865671641791045,1,0.48000000000000026,VEGN,No Balancing
0.8231456043956044,0.7910447761194029,0.7692307692307693,0.7142857142857143,0.8461538461538461,0.7407407407407407,2,0.5500000000000003,VEGN,No Balancing
0.8138736263736264,0.7611940298507462,0.6875,0.7857142857142857,0.7435897435897436,0.7333333333333333,3,0.5800000000000003,VEGN,No Balancing
0.8595467032967032,0.7910447761194029,0.75,0.75,0.8205128205128205,0.75,4,0.5500000000000003,VEGN,No Balancing
0.8291182501708818,0.7611940298507462,0.6984126984126984,0.7719298245614035,0.7532467532467533,0.7333333333333333,5,0.5350000000000004,VEGN,No Balancing
0.9424201529464687,0.8962962962962963,0.8524590163934426,0.9122807017543859,0.8846153846153846,0.8813559322033898,1,0.35000000000000014,FastHGTConv,No Balancing
0.9290293040293041,0.8955223880597015,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.8727272727272727,2,0.5750000000000004,FastHGTConv,No Balancing
0.9061355311355311,0.8507462686567164,0.7647058823529411,0.9285714285714286,0.7948717948717948,0.8387096774193549,3,0.4350000000000002,FastHGTConv,No Balancing
0.9413919413919415,0.8880597014925373,0.847457627118644,0.8928571428571429,0.8846153846153846,0.8695652173913043,4,0.5050000000000003,FastHGTConv,No Balancing
0.9266347687400318,0.8656716417910447,0.782608695652174,0.9473684210526315,0.8051948051948052,0.8571428571428571,5,0.4200000000000002,FastHGTConv,No Balancing
0.7962213225371121,0.7333333333333333,0.6721311475409836,0.7192982456140351,0.7435897435897436,0.6949152542372882,1,0.5350000000000004,SGNN,No Balancing
0.8301282051282052,0.7910447761194029,0.7333333333333333,0.7857142857142857,0.7948717948717948,0.7586206896551724,2,0.5450000000000004,SGNN,No Balancing
0.8434065934065934,0.7835820895522388,0.7213114754098361,0.7857142857142857,0.782051282051282,0.7521367521367521,3,0.5700000000000003,SGNN,No Balancing
0.8795787545787546,0.7985074626865671,0.7377049180327869,0.8035714285714286,0.7948717948717948,0.7692307692307693,4,0.5300000000000002,SGNN,No Balancing
0.8149920255183413,0.7686567164179104,0.7321428571428571,0.7192982456140351,0.8051948051948052,0.7256637168141593,5,0.5400000000000003,SGNN,No Balancing
0.9172289698605488,0.8888888888888888,0.8387096774193549,0.9122807017543859,0.8717948717948718,0.8739495798319328,1,0.5400000000000003,HeteroGATv2,SMOTE
0.8937728937728938,0.8731343283582089,0.8305084745762712,0.875,0.8717948717948718,0.8521739130434782,2,0.5250000000000004,HeteroGATv2,SMOTE
0.8635531135531136,0.8432835820895522,0.7777777777777778,0.875,0.8205128205128205,0.8235294117647058,3,0.5700000000000003,HeteroGATv2,SMOTE
0.9340659340659341,0.8955223880597015,0.85,0.9107142857142857,0.8846153846153846,0.8793103448275862,4,0.6000000000000003,HeteroGATv2,SMOTE
0.9211665527455001,0.8582089552238806,0.7878787878787878,0.9122807017543859,0.8181818181818182,0.8455284552845529,5,0.5550000000000004,HeteroGATv2,SMOTE
0.9154295996401259,0.8814814814814815,0.8360655737704918,0.8947368421052632,0.8717948717948718,0.864406779661017,1,0.4950000000000003,MOGAT,SMOTE
0.9178113553113554,0.8880597014925373,0.8596491228070176,0.875,0.8974358974358975,0.8672566371681416,2,0.5550000000000004,MOGAT,SMOTE
0.8910256410256411,0.8582089552238806,0.7761194029850746,0.9285714285714286,0.8076923076923077,0.8455284552845529,3,0.5500000000000003,MOGAT,SMOTE
0.9443681318681318,0.9029850746268657,0.8412698412698413,0.9464285714285714,0.8717948717948718,0.8907563025210085,4,0.5900000000000003,MOGAT,SMOTE
0.9159261790840738,0.8656716417910447,0.782608695652174,0.9473684210526315,0.8051948051948052,0.8571428571428571,5,0.5150000000000003,MOGAT,SMOTE
0.8031938821412505,0.7185185185185186,0.6610169491525424,0.6842105263157895,0.7435897435897436,0.6724137931034483,1,0.5700000000000003,HyperTMO,SMOTE
0.8491300366300366,0.8059701492537313,0.7884615384615384,0.7321428571428571,0.8589743589743589,0.7592592592592593,2,0.5800000000000003,HyperTMO,SMOTE
0.8434065934065934,0.8134328358208955,0.918918918918919,0.6071428571428571,0.9615384615384616,0.7311827956989247,3,0.6550000000000005,HyperTMO,SMOTE
0.861492673992674,0.8134328358208955,0.803921568627451,0.7321428571428571,0.8717948717948718,0.7663551401869159,4,0.5600000000000003,HyperTMO,SMOTE
0.8493962178172704,0.7985074626865671,0.7419354838709677,0.8070175438596491,0.7922077922077922,0.773109243697479,5,0.5500000000000003,HyperTMO,SMOTE
0.7597840755735492,0.7037037037037037,0.6349206349206349,0.7017543859649122,0.7051282051282052,0.6666666666666666,1,0.5200000000000002,RGCN,SMOTE
0.8381410256410257,0.7686567164179104,0.6923076923076923,0.8035714285714286,0.7435897435897436,0.743801652892562,2,0.4950000000000003,RGCN,SMOTE
0.8198260073260074,0.7686567164179104,0.7450980392156863,0.6785714285714286,0.8333333333333334,0.7102803738317757,3,0.5550000000000004,RGCN,SMOTE
0.8216575091575092,0.7611940298507462,0.6935483870967742,0.7678571428571429,0.7564102564102564,0.7288135593220338,4,0.5050000000000003,RGCN,SMOTE
0.8270676691729324,0.7835820895522388,0.7058823529411765,0.8421052631578947,0.7402597402597403,0.768,5,0.5300000000000002,RGCN,SMOTE
