Metric,Value
CV_Avg_Accuracy,0.8681472822910579
CV_Avg_Precision,0.8728655495229776
CV_Avg_Recall,0.8681472822910579
CV_Avg_F1,0.8677108667312782
Validation_Accuracy,0.875
Test_Accuracy,0.8571428571428571
External_Accuracy,0.6888111888111889
Validation_F1,0.8757529852076279
Test_F1,0.8581196581196581
External_F1,0.6953388088139861
