Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HeteroGATv2,No Balancing,IDH1,Gene,0.26476676384839665,0.9236151603498544
HeteroGATv2,No Balancing,TP53,Gene,0.011064139941691076,0.9236151603498544
HeteroGATv2,No Balancing,ATRX,Gene,0.005466472303207093,0.9236151603498544
HeteroGATv2,No Balancing,PTEN,Gene,0.004723032069970956,0.9236151603498544
HeteroGATv2,No Balancing,EGFR,Gene,0.007172011661807698,0.9236151603498544
HeteroGATv2,No Balancing,CIC,Gene,0.017084548104956375,0.9236151603498544
HeteroGATv2,No Balancing,MUC16,Gene,0.0020116618075802896,0.9236151603498544
HeteroGATv2,No Balancing,PIK3CA,Gene,0.006530612244898082,0.9236151603498544
HeteroGATv2,No Balancing,NF1,Gene,-0.0015014577259473416,0.9236151603498544
HeteroGATv2,No Balancing,PIK3R1,Gene,0.0019241982507290033,0.9236151603498544
HeteroGATv2,No Balancing,FUBP1,Gene,0.003688046647230403,0.9236151603498544
HeteroGATv2,No Balancing,RB1,Gene,-0.0004227405247812843,0.9236151603498544
HeteroGATv2,No Balancing,NOTCH1,Gene,0.010233236151603608,0.9236151603498544
HeteroGATv2,No Balancing,BCOR,Gene,-0.0011516034985421752,0.9236151603498544
HeteroGATv2,No Balancing,CSMD3,Gene,0.0012682215743441416,0.9236151603498544
HeteroGATv2,No Balancing,SMARCA4,Gene,0.0038338192419826167,0.9236151603498544
HeteroGATv2,No Balancing,GRIN2A,Gene,0.002274052478134192,0.9236151603498544
HeteroGATv2,No Balancing,IDH2,Gene,0.004970845481049646,0.9236151603498544
HeteroGATv2,No Balancing,FAT4,Gene,-4.373177842560416e-05,0.9236151603498544
HeteroGATv2,No Balancing,PDGFRA,Gene,-0.0007580174927112604,0.9236151603498544
HeteroGATv2,No Balancing,Age_at_diagnosis,Clinical,0.039387755102040935,0.9236151603498544
HeteroGATv2,No Balancing,Gender,Clinical,0.0026822157434403526,0.9236151603498544
HeteroGATv2,No Balancing,Race,Clinical,0.005451895043731891,0.9236151603498544
HeteroGATv2,SMOTE,IDH1,Gene,0.28287172011661815,0.9056851311953353
HeteroGATv2,SMOTE,TP53,Gene,0.004868804664723103,0.9056851311953353
HeteroGATv2,SMOTE,ATRX,Gene,0.021005830903790122,0.9056851311953353
HeteroGATv2,SMOTE,PTEN,Gene,0.0015160349854227873,0.9056851311953353
HeteroGATv2,SMOTE,EGFR,Gene,0.004781341107871784,0.9056851311953353
HeteroGATv2,SMOTE,CIC,Gene,0.011224489795918424,0.9056851311953353
HeteroGATv2,SMOTE,MUC16,Gene,0.0007580174927114159,0.9056851311953353
HeteroGATv2,SMOTE,PIK3CA,Gene,0.004475218658892222,0.9056851311953353
HeteroGATv2,SMOTE,NF1,Gene,-0.004154518950437269,0.9056851311953353
HeteroGATv2,SMOTE,PIK3R1,Gene,0.0017784256559767342,0.9056851311953353
HeteroGATv2,SMOTE,FUBP1,Gene,0.004737609329446136,0.9056851311953353
HeteroGATv2,SMOTE,RB1,Gene,-0.001268221574343953,0.9056851311953353
HeteroGATv2,SMOTE,NOTCH1,Gene,0.01851311953352778,0.9056851311953353
HeteroGATv2,SMOTE,BCOR,Gene,-0.005320699708454735,0.9056851311953353
HeteroGATv2,SMOTE,CSMD3,Gene,0.0008892128279884059,0.9056851311953353
HeteroGATv2,SMOTE,SMARCA4,Gene,0.00421282798833823,0.9056851311953353
HeteroGATv2,SMOTE,GRIN2A,Gene,-5.8309037900827754e-05,0.9056851311953353
HeteroGATv2,SMOTE,IDH2,Gene,0.007988338192419875,0.9056851311953353
HeteroGATv2,SMOTE,FAT4,Gene,-0.0015889212827987832,0.9056851311953353
HeteroGATv2,SMOTE,PDGFRA,Gene,2.915451895048049e-05,0.9056851311953353
HeteroGATv2,SMOTE,Age_at_diagnosis,Clinical,0.04263848396501463,0.9056851311953353
HeteroGATv2,SMOTE,Gender,Clinical,0.0024344023323615515,0.9056851311953353
HeteroGATv2,SMOTE,Race,Clinical,0.004183673469387794,0.9056851311953353
HeteroGATv2,CTGAN,IDH1,Gene,0.12803206997084554,0.9065597667638484
HeteroGATv2,CTGAN,TP53,Gene,0.0018804664723032216,0.9065597667638484
HeteroGATv2,CTGAN,ATRX,Gene,0.0030612244897959217,0.9065597667638484
HeteroGATv2,CTGAN,PTEN,Gene,0.007871720116618098,0.9065597667638484
HeteroGATv2,CTGAN,EGFR,Gene,0.005276967930029186,0.9065597667638484
HeteroGATv2,CTGAN,CIC,Gene,0.0007142857142857229,0.9065597667638484
HeteroGATv2,CTGAN,MUC16,Gene,2.915451895048049e-05,0.9065597667638484
