Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
SGNN,ROS,CGGA,0.526,0.72,0.4196,0.375,0.9412,0.1304,0.5363
HeteroGATv2,ROS+SF,TCGA Test,0.534,0.9257,0.8452,0.7973,0.8429,0.8469,0.8194
HeteroGATv2,ROS+SF,CGGA,0.534,0.7889,0.7028,0.5612,0.7647,0.6685,0.6473
MOGAT,ROS+SF,TCGA Test,0.522,0.9239,0.8631,0.8052,0.8857,0.8469,0.8435
MOGAT,ROS+SF,CGGA,0.522,0.7162,0.6469,0.5033,0.7549,0.587,0.6039
HyperTMO,ROS+SF,TCGA Test,0.542,0.8254,0.756,0.7042,0.7143,0.7857,0.7092
HyperTMO,ROS+SF,CGGA,0.542,0.6733,0.6399,0.4958,0.5784,0.6739,0.5339
RGCN,ROS+SF,TCGA Test,0.462,0.8831,0.7798,0.6774,0.9,0.6939,0.773
RGCN,ROS+SF,CGGA,0.462,0.6646,0.493,0.3838,0.6961,0.3804,0.4948
VEGN,ROS+SF,TCGA Test,0.48,0.9159,0.8512,0.7586,0.9429,0.7857,0.8408
VEGN,ROS+SF,CGGA,0.48,0.7043,0.6643,0.5259,0.598,0.7011,0.5596
FastHGTConv,ROS+SF,TCGA Test,0.554,0.9249,0.8631,0.7901,0.9143,0.8265,0.8477
FastHGTConv,ROS+SF,CGGA,0.554,0.7559,0.6538,0.5091,0.8235,0.5598,0.6292
SGNN,ROS+SF,TCGA Test,0.512,0.8609,0.6786,0.5678,0.9571,0.4796,0.7128
SGNN,ROS+SF,CGGA,0.512,0.6688,0.3986,0.3713,0.9902,0.0707,0.5401
