Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.4900000000000001
MOGAT,No Balancing,0.4940000000000002
HyperTMO,No Balancing,0.4780000000000001
RGCN,No Balancing,0.45400000000000007
VEGN,No Balancing,0.4780000000000002
FastHGTConv,No Balancing,0.4580000000000001
SGNN,No Balancing,0.49200000000000016
HeteroGATv2,SMOTE,0.5180000000000002
MOGAT,SMOTE,0.5040000000000002
HyperTMO,SMOTE,0.5180000000000003
RGCN,SMOTE,0.5020000000000002
VEGN,SMOTE,0.4700000000000002
FastHGTConv,SMOTE,0.48800000000000016
SGNN,SMOTE,0.5080000000000002
HeteroGATv2,CTGAN,0.5580000000000002
MOGAT,CTGAN,0.5640000000000003
HyperTMO,CTGAN,0.5400000000000003
RGCN,CTGAN,0.5160000000000002
VEGN,CTGAN,0.5360000000000003
FastHGTConv,CTGAN,0.5320000000000003
SGNN,CTGAN,0.48400000000000015
