Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9026,0.0431,0.8569,0.0683,0.7875,0.0878,0.9147,0.0482,0.8149,0.0919,0.8451,0.0669,0.532,0.0377
FastHGTConv,No Balancing,0.9281,0.0173,0.8822,0.0155,0.8326,0.0362,0.9041,0.0273,0.8662,0.04,0.8661,0.0139,0.458,0.0589
FastHGTConv,SMOTE,0.9353,0.0137,0.8837,0.0115,0.8345,0.0269,0.9041,0.0246,0.8688,0.0285,0.8674,0.0115,0.488,0.0614
HeteroGATv2,CTGAN,0.9078,0.0271,0.8614,0.0405,0.8009,0.0673,0.904,0.0452,0.83,0.0835,0.847,0.0356,0.558,0.0449
HeteroGATv2,No Balancing,0.9198,0.0178,0.8837,0.0252,0.8314,0.0421,0.9112,0.0361,0.8635,0.048,0.8685,0.0255,0.49,0.051
HeteroGATv2,SMOTE,0.9126,0.0315,0.8643,0.0415,0.8106,0.0352,0.8826,0.0884,0.8508,0.0304,0.8438,0.0552,0.518,0.0311
HyperTMO,CTGAN,0.8277,0.0254,0.766,0.0175,0.6963,0.0272,0.7912,0.0561,0.7482,0.0426,0.7393,0.0216,0.54,0.0367
HyperTMO,No Balancing,0.8133,0.0353,0.7393,0.0375,0.6535,0.0456,0.8194,0.0512,0.6815,0.0659,0.7257,0.0329,0.478,0.0164
HyperTMO,SMOTE,0.8434,0.023,0.778,0.0229,0.7222,0.0532,0.7801,0.0541,0.7762,0.07,0.7472,0.0157,0.518,0.0084
MOGAT,CTGAN,0.8992,0.0312,0.8539,0.0362,0.8056,0.0162,0.858,0.0886,0.8509,0.0074,0.8297,0.0512,0.564,0.0288
MOGAT,No Balancing,0.897,0.0325,0.8375,0.0554,0.7671,0.0727,0.8899,0.0545,0.7993,0.0791,0.8226,0.0562,0.494,0.0288
MOGAT,SMOTE,0.8659,0.0317,0.8166,0.0537,0.7474,0.0635,0.8579,0.0877,0.7865,0.0698,0.7967,0.0613,0.504,0.0241
RGCN,CTGAN,0.8794,0.0248,0.8287,0.0237,0.7596,0.0325,0.8689,0.051,0.7996,0.0363,0.8097,0.0282,0.516,0.0451
RGCN,No Balancing,0.8895,0.0233,0.8316,0.0224,0.7573,0.038,0.8865,0.0203,0.7917,0.0459,0.8161,0.0186,0.454,0.0467
RGCN,SMOTE,0.8948,0.0289,0.8496,0.0317,0.7964,0.0529,0.8687,0.0163,0.8354,0.0574,0.8301,0.0282,0.502,0.065
SGNN,CTGAN,0.87,0.0345,0.8153,0.0425,0.7396,0.0435,0.8691,0.097,0.7762,0.0568,0.7968,0.0539,0.484,0.0467
SGNN,No Balancing,0.8707,0.0241,0.8183,0.0369,0.7524,0.056,0.8545,0.0239,0.7917,0.0664,0.7991,0.0319,0.492,0.0719
SGNN,SMOTE,0.8733,0.014,0.8272,0.0351,0.7675,0.0466,0.8476,0.026,0.8123,0.0443,0.8053,0.0361,0.508,0.0581
VEGN,CTGAN,0.9223,0.0109,0.8614,0.0232,0.8069,0.0445,0.8867,0.0442,0.8431,0.0503,0.8435,0.0228,0.536,0.0251
VEGN,No Balancing,0.9266,0.0198,0.8733,0.0392,0.8067,0.0658,0.929,0.0311,0.8329,0.077,0.8617,0.0346,0.478,0.0327
VEGN,SMOTE,0.9208,0.0213,0.8733,0.0218,0.8121,0.0563,0.9182,0.0467,0.8404,0.0653,0.8596,0.0174,0.47,0.0718
