Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.49,0.9201,0.8333,0.7763,0.8429,0.8265,0.8082
HeteroGATv2,No Balancing,CGGA,0.49,0.7556,0.5629,0.4416,0.8529,0.4022,0.5819
MOGAT,No Balancing,TCGA Test,0.494,0.8229,0.631,0.5323,0.9429,0.4082,0.6804
MOGAT,No Balancing,CGGA,0.494,0.7147,0.451,0.383,0.8824,0.212,0.5341
HyperTMO,No Balancing,TCGA Test,0.478,0.8149,0.7202,0.6292,0.8,0.6633,0.7044
HyperTMO,No Balancing,CGGA,0.478,0.6407,0.4091,0.3676,0.9118,0.1304,0.5239
RGCN,No Balancing,TCGA Test,0.454,0.8962,0.8155,0.7241,0.9,0.7551,0.8025
RGCN,No Balancing,CGGA,0.454,0.7255,0.5559,0.4372,0.8529,0.3913,0.5781
VEGN,No Balancing,TCGA Test,0.478,0.9216,0.8512,0.7778,0.9,0.8163,0.8344
VEGN,No Balancing,CGGA,0.478,0.7669,0.7028,0.557,0.8137,0.6413,0.6614
FastHGTConv,No Balancing,TCGA Test,0.458,0.8936,0.8333,0.7625,0.8714,0.8061,0.8133
FastHGTConv,No Balancing,CGGA,0.458,0.6385,0.5594,0.4341,0.7745,0.4402,0.5563
SGNN,No Balancing,TCGA Test,0.492,0.8558,0.7857,0.7237,0.7857,0.7857,0.7534
SGNN,No Balancing,CGGA,0.492,0.6851,0.493,0.4093,0.951,0.2391,0.5723
HeteroGATv2,SMOTE,TCGA Test,0.518,0.9057,0.8571,0.7949,0.8857,0.8367,0.8378
HeteroGATv2,SMOTE,CGGA,0.518,0.7278,0.6084,0.4702,0.7745,0.5163,0.5852
MOGAT,SMOTE,TCGA Test,0.504,0.9214,0.869,0.8077,0.9,0.8469,0.8514
MOGAT,SMOTE,CGGA,0.504,0.7936,0.7028,0.5649,0.7255,0.6902,0.6352
HyperTMO,SMOTE,TCGA Test,0.518,0.8178,0.6667,0.5603,0.9286,0.4796,0.6989
HyperTMO,SMOTE,CGGA,0.518,0.6846,0.458,0.379,0.8137,0.2609,0.5171
RGCN,SMOTE,TCGA Test,0.502,0.8408,0.7619,0.6596,0.8857,0.6735,0.7561
RGCN,SMOTE,CGGA,0.502,0.6904,0.535,0.4124,0.7157,0.4348,0.5233
VEGN,SMOTE,TCGA Test,0.47,0.9063,0.8274,0.747,0.8857,0.7857,0.8105
VEGN,SMOTE,CGGA,0.47,0.7499,0.6469,0.5029,0.8431,0.538,0.63
FastHGTConv,SMOTE,TCGA Test,0.488,0.8864,0.8333,0.7442,0.9143,0.7755,0.8205
FastHGTConv,SMOTE,CGGA,0.488,0.6636,0.5629,0.4372,0.7843,0.4402,0.5614
SGNN,SMOTE,TCGA Test,0.508,0.8388,0.7143,0.6,0.9429,0.551,0.7333
SGNN,SMOTE,CGGA,0.508,0.5828,0.5559,0.4101,0.5588,0.5543,0.473
HeteroGATv2,CTGAN,TCGA Test,0.558,0.9127,0.8274,0.7733,0.8286,0.8265,0.8
HeteroGATv2,CTGAN,CGGA,0.558,0.7986,0.6643,0.5179,0.8529,0.5598,0.6444
MOGAT,CTGAN,TCGA Test,0.564,0.8968,0.8631,0.8219,0.8571,0.8673,0.8392
MOGAT,CTGAN,CGGA,0.564,0.7409,0.6888,0.5481,0.7255,0.6685,0.6245
HyperTMO,CTGAN,TCGA Test,0.54,0.8286,0.7679,0.7385,0.6857,0.8265,0.7111
HyperTMO,CTGAN,CGGA,0.54,0.6735,0.6049,0.4641,0.6961,0.5543,0.5569
RGCN,CTGAN,TCGA Test,0.516,0.8726,0.7738,0.6818,0.8571,0.7143,0.7595
RGCN,CTGAN,CGGA,0.516,0.7375,0.6538,0.5101,0.7451,0.6033,0.6056
VEGN,CTGAN,TCGA Test,0.536,0.9034,0.8333,0.7692,0.8571,0.8163,0.8108
VEGN,CTGAN,CGGA,0.536,0.7693,0.6469,0.5031,0.8039,0.5598,0.6189
FastHGTConv,CTGAN,TCGA Test,0.532,0.9149,0.8452,0.7683,0.9,0.8061,0.8289
FastHGTConv,CTGAN,CGGA,0.532,0.689,0.5944,0.4615,0.8235,0.4674,0.5915
SGNN,CTGAN,TCGA Test,0.484,0.8675,0.6607,0.5537,0.9571,0.449,0.7016
SGNN,CTGAN,CGGA,0.484,0.6334,0.4056,0.3618,0.8725,0.1467,0.5115
