Pipeline,Count,AUC,F1,Accuracy,Precision,Recall_1,Recall_0
CTGAN,14,0.7725,0.6473,0.6934,0.6028,0.7428,0.6611
No Balancing,14,0.7919,0.6587,0.6856,0.5857,0.7845,0.6237
ROS,14,0.7945,0.6773,0.7207,0.6307,0.7528,0.7021
SMOTE,14,0.79,0.648,0.6941,0.6009,0.748,0.6607
