Pipeline,Count,AUC,F1,Accuracy,Precision,Recall_1,Recall_0
CTGAN,7,0.7004,0.556,0.6274,0.5255,0.6653,0.6064
No Balancing,7,0.719,0.5686,0.6144,0.4857,0.7241,0.5536
ROS,7,0.7222,0.5865,0.6438,0.5283,0.6975,0.6141
SMOTE,7,0.718,0.5727,0.6289,0.5065,0.6919,0.5939
