Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9133,0.0234,0.8774,0.0188,0.8178,0.04,0.9146,0.0366,0.8506,0.0408,0.8625,0.0204,0.532,0.0616
FastHGTConv,No Balancing,0.8899,0.0665,0.8386,0.0725,0.7659,0.0757,0.8861,0.0999,0.8044,0.0603,0.8211,0.0832,0.504,0.0423
FastHGTConv,ROS,0.9212,0.0067,0.8745,0.0078,0.8309,0.0452,0.8862,0.0464,0.8662,0.0464,0.8557,0.0029,0.556,0.1119
FastHGTConv,SMOTE,0.9219,0.0102,0.8774,0.0113,0.8342,0.0467,0.8898,0.0458,0.8688,0.0486,0.8592,0.0092,0.567,0.039
HeteroGATv2,CTGAN,0.902,0.0246,0.864,0.0145,0.8053,0.0265,0.8932,0.0255,0.8429,0.0271,0.8465,0.0159,0.579,0.0266
HeteroGATv2,No Balancing,0.912,0.012,0.8685,0.0124,0.8062,0.0304,0.9076,0.0419,0.8403,0.0364,0.8528,0.0129,0.507,0.0282
HeteroGATv2,ROS,0.9176,0.0097,0.8864,0.0062,0.8289,0.0258,0.9219,0.0405,0.8609,0.0314,0.872,0.007,0.528,0.0469
HeteroGATv2,SMOTE,0.9163,0.0136,0.8819,0.0193,0.8339,0.0416,0.9004,0.0095,0.8687,0.0384,0.8653,0.0191,0.551,0.0309
HyperTMO,CTGAN,0.8308,0.0419,0.7759,0.0409,0.7021,0.0497,0.8147,0.0565,0.7475,0.054,0.7533,0.0436,0.449,0.0773
HyperTMO,No Balancing,0.8205,0.0464,0.7729,0.0443,0.7107,0.0609,0.783,0.0357,0.7658,0.0652,0.7441,0.0428,0.502,0.0404
HyperTMO,ROS,0.8339,0.0419,0.7878,0.0437,0.7127,0.0612,0.8435,0.0226,0.7477,0.0845,0.7709,0.0336,0.447,0.0456
HyperTMO,SMOTE,0.8371,0.0349,0.7833,0.0375,0.7257,0.0554,0.7865,0.0551,0.7812,0.0619,0.7532,0.038,0.543,0.0256
MOGAT,CTGAN,0.9109,0.0214,0.867,0.027,0.8193,0.0436,0.8788,0.0299,0.8584,0.0389,0.8475,0.0295,0.591,0.023
MOGAT,No Balancing,0.9069,0.0194,0.864,0.0326,0.7996,0.0542,0.9074,0.0296,0.8327,0.0552,0.8491,0.0328,0.523,0.0239
MOGAT,ROS,0.92,0.0129,0.8789,0.0196,0.8261,0.0358,0.9039,0.0412,0.8609,0.0364,0.8624,0.0226,0.557,0.0614
MOGAT,SMOTE,0.92,0.0158,0.8819,0.0221,0.8216,0.0414,0.9216,0.0372,0.8532,0.0435,0.8678,0.0233,0.538,0.0456
RGCN,CTGAN,0.8039,0.0312,0.7534,0.0259,0.6832,0.0304,0.772,0.0592,0.7397,0.0405,0.7239,0.0342,0.533,0.0365
RGCN,No Balancing,0.8124,0.0377,0.7549,0.0338,0.6772,0.0512,0.8111,0.0726,0.714,0.0818,0.7353,0.0327,0.499,0.039
RGCN,ROS,0.814,0.036,0.7624,0.0313,0.6914,0.0428,0.7898,0.0331,0.7423,0.0513,0.7367,0.0302,0.517,0.0168
RGCN,SMOTE,0.8154,0.0414,0.7654,0.0378,0.6986,0.0525,0.7828,0.0431,0.7528,0.0579,0.7374,0.0391,0.546,0.067
SGNN,CTGAN,0.8327,0.0249,0.7952,0.0281,0.7699,0.0809,0.7543,0.0874,0.8246,0.0899,0.7551,0.0278,0.557,0.0727
SGNN,No Balancing,0.8299,0.0335,0.7698,0.0337,0.7023,0.0608,0.8008,0.0334,0.7478,0.0804,0.746,0.0226,0.523,0.028
SGNN,ROS,0.8241,0.0352,0.7684,0.0358,0.7011,0.0537,0.79,0.0264,0.7529,0.0606,0.7419,0.033,0.547,0.0297
SGNN,SMOTE,0.8101,0.044,0.7654,0.0306,0.7012,0.0388,0.7721,0.0501,0.7604,0.0425,0.7341,0.0354,0.562,0.0323
VEGN,CTGAN,0.8185,0.0373,0.7699,0.0351,0.695,0.045,0.8111,0.0552,0.7397,0.0556,0.7475,0.0374,0.535,0.0862
VEGN,No Balancing,0.8171,0.0382,0.7654,0.0328,0.6876,0.0422,0.8147,0.0692,0.7295,0.055,0.7442,0.0381,0.526,0.0332
VEGN,ROS,0.8203,0.0381,0.7684,0.0365,0.6915,0.0504,0.8219,0.0622,0.7295,0.075,0.7489,0.035,0.552,0.0432
VEGN,SMOTE,0.8149,0.0385,0.7639,0.0371,0.6932,0.0592,0.8004,0.0564,0.7373,0.0777,0.7405,0.033,0.563,0.0225
