Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5070000000000003
MOGAT,No Balancing,0.5230000000000002
HyperTMO,No Balancing,0.5020000000000003
RGCN,No Balancing,0.4990000000000003
VEGN,No Balancing,0.5260000000000004
FastHGTConv,No Balancing,0.5040000000000002
SGNN,No Balancing,0.5230000000000004
HeteroGATv2,SMOTE,0.5510000000000004
MOGAT,SMOTE,0.5380000000000004
HyperTMO,SMOTE,0.5430000000000004
RGCN,SMOTE,0.5460000000000003
VEGN,SMOTE,0.5630000000000004
FastHGTConv,SMOTE,0.5670000000000004
SGNN,SMOTE,0.5620000000000004
HeteroGATv2,CTGAN,0.5790000000000003
MOGAT,CTGAN,0.5910000000000004
HyperTMO,CTGAN,0.4490000000000002
RGCN,CTGAN,0.5330000000000004
VEGN,CTGAN,0.5350000000000003
FastHGTConv,CTGAN,0.5320000000000004
SGNN,CTGAN,0.5570000000000003
HeteroGATv2,ROS,0.5280000000000002
MOGAT,ROS,0.5570000000000004
HyperTMO,ROS,0.44700000000000023
RGCN,ROS,0.5170000000000003
VEGN,ROS,0.5520000000000003
FastHGTConv,ROS,0.5560000000000003
SGNN,ROS,0.5470000000000004
