Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.507,0.8626,0.7857,0.716,0.8169,0.7629,0.7632
HeteroGATv2,No Balancing,CGGA,0.507,0.7357,0.6268,0.488,0.7941,0.533,0.6045
MOGAT,No Balancing,TCGA Test,0.523,0.8773,0.8036,0.7436,0.8169,0.7938,0.7785
MOGAT,No Balancing,CGGA,0.523,0.7882,0.7007,0.5563,0.8235,0.6319,0.664
HyperTMO,No Balancing,TCGA Test,0.502,0.8214,0.7262,0.7551,0.5211,0.8763,0.6167
HyperTMO,No Balancing,CGGA,0.502,0.6519,0.7113,0.622,0.5,0.8297,0.5543
RGCN,No Balancing,TCGA Test,0.499,0.8217,0.7321,0.6477,0.8028,0.6804,0.717
RGCN,No Balancing,CGGA,0.499,0.6823,0.3838,0.3623,0.9412,0.0714,0.5232
VEGN,No Balancing,TCGA Test,0.526,0.816,0.7202,0.6395,0.7746,0.6804,0.7006
VEGN,No Balancing,CGGA,0.526,0.6824,0.3592,0.3592,1.0,0.0,0.5285
FastHGTConv,No Balancing,TCGA Test,0.504,0.9129,0.875,0.8205,0.9014,0.8557,0.8591
FastHGTConv,No Balancing,CGGA,0.504,0.6015,0.5739,0.4469,0.7843,0.456,0.5694
SGNN,No Balancing,TCGA Test,0.523,0.8079,0.744,0.6707,0.7746,0.7216,0.719
SGNN,No Balancing,CGGA,0.523,0.6474,0.4613,0.3877,0.8627,0.2363,0.535
HeteroGATv2,SMOTE,TCGA Test,0.551,0.9,0.869,0.7952,0.9296,0.8247,0.8571
HeteroGATv2,SMOTE,CGGA,0.551,0.6923,0.6303,0.4908,0.7843,0.544,0.6038
MOGAT,SMOTE,TCGA Test,0.538,0.9095,0.8571,0.7975,0.8873,0.8351,0.84
MOGAT,SMOTE,CGGA,0.538,0.7852,0.6866,0.5425,0.8137,0.6154,0.651
HyperTMO,SMOTE,TCGA Test,0.543,0.8319,0.75,0.7164,0.6761,0.8041,0.6957
HyperTMO,SMOTE,CGGA,0.543,0.6901,0.507,0.4059,0.8039,0.3407,0.5395
RGCN,SMOTE,TCGA Test,0.546,0.8308,0.756,0.7273,0.6761,0.8144,0.7007
RGCN,SMOTE,CGGA,0.546,0.6754,0.6268,0.4857,0.6667,0.6044,0.562
VEGN,SMOTE,TCGA Test,0.563,0.8144,0.7083,0.6222,0.7887,0.6495,0.6957
VEGN,SMOTE,CGGA,0.563,0.6773,0.419,0.3682,0.8627,0.1703,0.5161
FastHGTConv,SMOTE,TCGA Test,0.567,0.9108,0.8512,0.8026,0.8592,0.8454,0.8299
FastHGTConv,SMOTE,CGGA,0.567,0.6277,0.5986,0.4634,0.7451,0.5165,0.5714
SGNN,SMOTE,TCGA Test,0.562,0.8149,0.75,0.6883,0.7465,0.7526,0.7162
SGNN,SMOTE,CGGA,0.562,0.5784,0.3979,0.3603,0.8725,0.1319,0.51
HeteroGATv2,CTGAN,TCGA Test,0.579,0.8936,0.8036,0.7262,0.8592,0.7629,0.7871
HeteroGATv2,CTGAN,CGGA,0.579,0.756,0.588,0.4603,0.8529,0.4396,0.5979
MOGAT,CTGAN,TCGA Test,0.591,0.9235,0.8571,0.7901,0.9014,0.8247,0.8421
MOGAT,CTGAN,CGGA,0.591,0.8056,0.7324,0.6048,0.7353,0.7308,0.6637
HyperTMO,CTGAN,TCGA Test,0.449,0.848,0.7738,0.726,0.7465,0.7938,0.7361
HyperTMO,CTGAN,CGGA,0.449,0.6743,0.6725,0.5398,0.598,0.7143,0.5674
RGCN,CTGAN,TCGA Test,0.533,0.8102,0.7262,0.6471,0.7746,0.6907,0.7051
RGCN,CTGAN,CGGA,0.533,0.6836,0.6444,0.5039,0.6275,0.6538,0.559
VEGN,CTGAN,TCGA Test,0.535,0.8093,0.7262,0.6471,0.7746,0.6907,0.7051
VEGN,CTGAN,CGGA,0.535,0.6591,0.3592,0.3592,1.0,0.0,0.5285
FastHGTConv,CTGAN,TCGA Test,0.532,0.8449,0.7917,0.7432,0.7746,0.8041,0.7586
FastHGTConv,CTGAN,CGGA,0.532,0.6767,0.5246,0.4179,0.8235,0.3571,0.5545
SGNN,CTGAN,TCGA Test,0.557,0.8234,0.7619,0.7183,0.7183,0.7938,0.7183
SGNN,CTGAN,CGGA,0.557,0.6743,0.5704,0.4383,0.6961,0.5,0.5379
HeteroGATv2,ROS,TCGA Test,0.528,0.9023,0.8571,0.7701,0.9437,0.7938,0.8481
HeteroGATv2,ROS,CGGA,0.528,0.6716,0.5915,0.462,0.8333,0.456,0.5944
MOGAT,ROS,TCGA Test,0.557,0.8953,0.8571,0.7831,0.9155,0.8144,0.8442
MOGAT,ROS,CGGA,0.557,0.6163,0.5176,0.4208,0.9118,0.2967,0.5759
HyperTMO,ROS,TCGA Test,0.447,0.8271,0.744,0.6346,0.9296,0.6082,0.7543
HyperTMO,ROS,CGGA,0.447,0.6635,0.4613,0.3825,0.8137,0.2637,0.5204
RGCN,ROS,TCGA Test,0.517,0.8272,0.744,0.6591,0.8169,0.6907,0.7296
RGCN,ROS,CGGA,0.517,0.6916,0.3873,0.3647,0.951,0.0714,0.5272
VEGN,ROS,TCGA Test,0.552,0.8145,0.7262,0.6437,0.7887,0.6804,0.7089
VEGN,ROS,CGGA,0.552,0.6958,0.3592,0.3592,1.0,0.0,0.5285
FastHGTConv,ROS,TCGA Test,0.556,0.9214,0.8631,0.8158,0.8732,0.8557,0.8435
FastHGTConv,ROS,CGGA,0.556,0.69,0.6232,0.4839,0.7353,0.5604,0.5837
SGNN,ROS,TCGA Test,0.547,0.8227,0.756,0.6667,0.8451,0.6907,0.7453
SGNN,ROS,CGGA,0.547,0.6824,0.4824,0.3913,0.7941,0.3077,0.5243
