Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5300000000000005
MOGAT,No Balancing,0.5420000000000004
HyperTMO,No Balancing,0.5190000000000003
RGCN,No Balancing,0.5320000000000004
VEGN,No Balancing,0.5390000000000003
FastHGTConv,No Balancing,0.4770000000000003
SGNN,No Balancing,0.5430000000000004
HeteroGATv2,SMOTE,0.5580000000000004
MOGAT,SMOTE,0.5440000000000003
HyperTMO,SMOTE,0.5660000000000003
RGCN,SMOTE,0.5510000000000004
VEGN,SMOTE,0.5020000000000002
FastHGTConv,SMOTE,0.5620000000000004
SGNN,SMOTE,0.5630000000000004
HeteroGATv2,CTGAN,0.5840000000000003
MOGAT,CTGAN,0.5550000000000003
HyperTMO,CTGAN,0.5680000000000003
RGCN,CTGAN,0.5620000000000004
VEGN,CTGAN,0.5600000000000003
FastHGTConv,CTGAN,0.5670000000000004
SGNN,CTGAN,0.5550000000000004
HeteroGATv2,ROS,0.5600000000000003
MOGAT,ROS,0.5600000000000003
HyperTMO,ROS,0.5720000000000003
RGCN,ROS,0.5730000000000004
VEGN,ROS,0.5880000000000004
FastHGTConv,ROS,0.5620000000000005
SGNN,ROS,0.5450000000000003
