Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.915,0.0164,0.8704,0.0349,0.8127,0.0646,0.9076,0.0269,0.843,0.0689,0.856,0.0326,0.567,0.041
FastHGTConv,No Balancing,0.927,0.0211,0.8792,0.0209,0.8258,0.0446,0.9076,0.0269,0.8585,0.0478,0.8638,0.0193,0.477,0.0715
FastHGTConv,ROS,0.9213,0.0134,0.8823,0.0124,0.8341,0.0279,0.9006,0.0274,0.8688,0.0315,0.8655,0.0125,0.562,0.0383
FastHGTConv,SMOTE,0.9241,0.0169,0.8823,0.0225,0.8343,0.0521,0.9043,0.0343,0.8662,0.0531,0.8664,0.0215,0.562,0.0659
HeteroGATv2,CTGAN,0.9083,0.0264,0.8644,0.0286,0.8107,0.0441,0.8865,0.0159,0.8483,0.0421,0.8466,0.0289,0.584,0.0453
HeteroGATv2,No Balancing,0.9112,0.0193,0.8748,0.0194,0.8231,0.0501,0.9006,0.037,0.856,0.0534,0.8585,0.0165,0.53,0.061
HeteroGATv2,ROS,0.9088,0.0223,0.8748,0.0234,0.8143,0.0334,0.9113,0.0281,0.8483,0.0337,0.8597,0.0242,0.56,0.0146
HeteroGATv2,SMOTE,0.906,0.0278,0.8718,0.0215,0.817,0.0321,0.8971,0.0201,0.8534,0.0315,0.8549,0.0226,0.558,0.0289
HyperTMO,CTGAN,0.8313,0.0233,0.769,0.0177,0.7016,0.0303,0.7912,0.0803,0.7532,0.0526,0.7411,0.0286,0.568,0.0239
HyperTMO,No Balancing,0.8369,0.0233,0.778,0.0136,0.7074,0.0109,0.805,0.0499,0.7583,0.0217,0.7524,0.0218,0.519,0.0096
HyperTMO,ROS,0.8374,0.0212,0.787,0.0274,0.7387,0.0423,0.7694,0.0835,0.7993,0.0562,0.7511,0.0387,0.572,0.022
HyperTMO,SMOTE,0.8417,0.0222,0.7751,0.0412,0.723,0.0576,0.7589,0.0534,0.7866,0.0532,0.7395,0.0453,0.566,0.0108
MOGAT,CTGAN,0.8664,0.0313,0.8093,0.0369,0.7442,0.0481,0.8371,0.045,0.7891,0.0505,0.7872,0.0375,0.555,0.005
MOGAT,No Balancing,0.9194,0.0132,0.8763,0.0189,0.8255,0.0314,0.8969,0.0448,0.861,0.0354,0.8589,0.0227,0.542,0.0599
MOGAT,ROS,0.9057,0.016,0.8733,0.0237,0.8194,0.0463,0.9006,0.027,0.8533,0.0491,0.8571,0.0223,0.56,0.0285
MOGAT,SMOTE,0.9171,0.0191,0.8793,0.0178,0.8214,0.0394,0.9148,0.0293,0.8533,0.0438,0.8646,0.0159,0.544,0.0422
RGCN,CTGAN,0.8235,0.0355,0.7676,0.0372,0.7042,0.0572,0.7871,0.0426,0.7533,0.0835,0.741,0.0257,0.562,0.0616
RGCN,No Balancing,0.8233,0.0333,0.7602,0.046,0.6993,0.0629,0.7694,0.0227,0.7533,0.0864,0.731,0.0341,0.532,0.0413
RGCN,ROS,0.8192,0.0295,0.7676,0.033,0.7094,0.0531,0.7694,0.0266,0.766,0.0712,0.7365,0.0218,0.573,0.0539
RGCN,SMOTE,0.821,0.0309,0.7602,0.0361,0.6971,0.0484,0.766,0.0471,0.7558,0.055,0.7288,0.0357,0.551,0.0222
SGNN,CTGAN,0.8145,0.0369,0.7691,0.0368,0.7207,0.0308,0.7344,0.0745,0.7942,0.0253,0.7266,0.0499,0.555,0.0274
SGNN,No Balancing,0.8327,0.0314,0.775,0.0258,0.7193,0.0271,0.7627,0.0403,0.7841,0.0241,0.7401,0.0299,0.543,0.0157
SGNN,ROS,0.8392,0.0279,0.781,0.014,0.7157,0.0302,0.8016,0.0745,0.766,0.0526,0.7538,0.0211,0.545,0.0473
SGNN,SMOTE,0.824,0.0282,0.7661,0.0283,0.7046,0.0332,0.7662,0.0594,0.7661,0.0378,0.7331,0.0342,0.563,0.0196
VEGN,CTGAN,0.8223,0.0318,0.7512,0.0331,0.678,0.0436,0.7873,0.0328,0.725,0.0654,0.7274,0.0245,0.56,0.0215
VEGN,No Balancing,0.8196,0.0314,0.7587,0.0418,0.7005,0.067,0.7658,0.0355,0.7532,0.0948,0.7288,0.0246,0.539,0.0368
VEGN,ROS,0.8204,0.031,0.7646,0.0387,0.7082,0.0598,0.7658,0.0453,0.7635,0.0871,0.7332,0.0265,0.588,0.034
VEGN,SMOTE,0.8152,0.0262,0.7542,0.0289,0.6844,0.0455,0.7835,0.04,0.7326,0.0734,0.7287,0.0164,0.502,0.0554
