Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.486,0.9036,0.8214,0.7703,0.8143,0.8265,0.7917
HeteroGATv2,No Balancing,CGGA,0.486,0.7123,0.6573,0.5213,0.4804,0.7554,0.5
MOGAT,No Balancing,TCGA Test,0.498,0.9278,0.8631,0.7901,0.9143,0.8265,0.8477
MOGAT,No Balancing,CGGA,0.498,0.7795,0.6993,0.5597,0.7353,0.6793,0.6356
HyperTMO,No Balancing,TCGA Test,0.484,0.8325,0.7619,0.7778,0.6,0.8776,0.6774
HyperTMO,No Balancing,CGGA,0.484,0.6724,0.3951,0.3608,0.902,0.1141,0.5154
RGCN,No Balancing,TCGA Test,0.494,0.8147,0.7083,0.6154,0.8,0.6429,0.6957
RGCN,No Balancing,CGGA,0.494,0.6004,0.3566,0.3566,1.0,0.0,0.5258
VEGN,No Balancing,TCGA Test,0.456,0.8997,0.8095,0.7209,0.8857,0.7551,0.7949
VEGN,No Balancing,CGGA,0.456,0.6928,0.6573,0.5172,0.5882,0.6957,0.5505
FastHGTConv,No Balancing,TCGA Test,0.442,0.9297,0.8452,0.7391,0.9714,0.7551,0.8395
FastHGTConv,No Balancing,CGGA,0.442,0.7558,0.528,0.4247,0.9118,0.3152,0.5794
SGNN,No Balancing,TCGA Test,0.456,0.8076,0.744,0.6517,0.8286,0.6837,0.7296
SGNN,No Balancing,CGGA,0.456,0.6254,0.3601,0.3579,1.0,0.0054,0.5271
HeteroGATv2,SMOTE,TCGA Test,0.528,0.8994,0.8214,0.7703,0.8143,0.8265,0.7917
HeteroGATv2,SMOTE,CGGA,0.528,0.8021,0.6364,0.4943,0.8431,0.5217,0.6232
MOGAT,SMOTE,TCGA Test,0.528,0.8983,0.7976,0.7812,0.7143,0.8571,0.7463
MOGAT,SMOTE,CGGA,0.528,0.7783,0.7098,0.5714,0.7451,0.6902,0.6468
HyperTMO,SMOTE,TCGA Test,0.518,0.8233,0.744,0.7015,0.6714,0.7959,0.6861
HyperTMO,SMOTE,CGGA,0.518,0.6738,0.6084,0.4632,0.6176,0.6033,0.5294
RGCN,SMOTE,TCGA Test,0.512,0.8166,0.6964,0.7568,0.4,0.9082,0.5234
RGCN,SMOTE,CGGA,0.512,0.6677,0.6259,0.4815,0.6373,0.6196,0.5485
VEGN,SMOTE,TCGA Test,0.5,0.9246,0.8393,0.7722,0.8714,0.8163,0.8188
VEGN,SMOTE,CGGA,0.5,0.6909,0.5594,0.4388,0.8431,0.4022,0.5772
FastHGTConv,SMOTE,TCGA Test,0.452,0.9036,0.8095,0.7021,0.9429,0.7143,0.8049
FastHGTConv,SMOTE,CGGA,0.452,0.743,0.5175,0.4196,0.9216,0.2935,0.5767
SGNN,SMOTE,TCGA Test,0.518,0.8095,0.7679,0.7123,0.7429,0.7857,0.7273
SGNN,SMOTE,CGGA,0.518,0.6699,0.6434,0.5,0.5,0.7228,0.5
HeteroGATv2,CTGAN,TCGA Test,0.532,0.9099,0.8274,0.7531,0.8714,0.7959,0.8079
HeteroGATv2,CTGAN,CGGA,0.532,0.7834,0.7203,0.5917,0.6961,0.7337,0.6396
MOGAT,CTGAN,TCGA Test,0.544,0.9109,0.8452,0.7683,0.9,0.8061,0.8289
MOGAT,CTGAN,CGGA,0.544,0.8004,0.7413,0.6111,0.7549,0.7337,0.6754
HyperTMO,CTGAN,TCGA Test,0.526,0.8335,0.744,0.6709,0.7571,0.7347,0.7114
HyperTMO,CTGAN,CGGA,0.526,0.6869,0.4825,0.3955,0.8529,0.2772,0.5404
RGCN,CTGAN,TCGA Test,0.472,0.8166,0.7143,0.61,0.8714,0.602,0.7176
RGCN,CTGAN,CGGA,0.472,0.6138,0.3566,0.3566,1.0,0.0,0.5258
VEGN,CTGAN,TCGA Test,0.538,0.893,0.8571,0.7949,0.8857,0.8367,0.8378
VEGN,CTGAN,CGGA,0.538,0.7212,0.6888,0.567,0.5392,0.7717,0.5528
FastHGTConv,CTGAN,TCGA Test,0.524,0.872,0.7738,0.7051,0.7857,0.7653,0.7432
FastHGTConv,CTGAN,CGGA,0.524,0.6806,0.6818,0.5604,0.5,0.7826,0.5285
SGNN,CTGAN,TCGA Test,0.53,0.8098,0.7262,0.65,0.7429,0.7143,0.6933
SGNN,CTGAN,CGGA,0.53,0.6532,0.451,0.3859,0.9118,0.1957,0.5423
HeteroGATv2,ROS,TCGA Test,0.548,0.921,0.8512,0.7922,0.8714,0.8367,0.8299
HeteroGATv2,ROS,CGGA,0.548,0.7749,0.6748,0.528,0.8333,0.587,0.6464
MOGAT,ROS,TCGA Test,0.526,0.9245,0.8631,0.7831,0.9286,0.8163,0.8497
MOGAT,ROS,CGGA,0.526,0.7909,0.6958,0.5503,0.8039,0.6359,0.6534
HyperTMO,ROS,TCGA Test,0.526,0.8382,0.7619,0.7143,0.7143,0.7959,0.7143
HyperTMO,ROS,CGGA,0.526,0.6877,0.5559,0.4242,0.6863,0.4837,0.5243
RGCN,ROS,TCGA Test,0.464,0.8213,0.7321,0.6712,0.7,0.7551,0.6853
RGCN,ROS,CGGA,0.464,0.7003,0.7378,0.7213,0.4314,0.9076,0.5399
VEGN,ROS,TCGA Test,0.524,0.9143,0.8274,0.7887,0.8,0.8469,0.7943
VEGN,ROS,CGGA,0.524,0.7366,0.6748,0.5349,0.6765,0.6739,0.5974
FastHGTConv,ROS,TCGA Test,0.524,0.9216,0.8631,0.831,0.8429,0.8776,0.8369
FastHGTConv,ROS,CGGA,0.524,0.7351,0.7098,0.6022,0.549,0.7989,0.5744
SGNN,ROS,TCGA Test,0.514,0.8239,0.7381,0.6548,0.7857,0.7041,0.7143
SGNN,ROS,CGGA,0.514,0.6597,0.3601,0.3579,1.0,0.0054,0.5271
