Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9238,0.0128,0.8748,0.0214,0.8091,0.0366,0.922,0.0203,0.8405,0.0396,0.8613,0.0202,0.514,0.0428
FastHGTConv,No Balancing,0.9269,0.0204,0.8838,0.0178,0.8367,0.0312,0.9006,0.0301,0.8714,0.0305,0.867,0.0197,0.434,0.0462
FastHGTConv,ROS,0.927,0.0121,0.8673,0.0435,0.8458,0.0345,0.8372,0.0974,0.8895,0.028,0.8394,0.061,0.506,0.1884
FastHGTConv,ROS+SF,0.9244,0.0098,0.8719,0.0151,0.8263,0.028,0.8829,0.0542,0.8636,0.0357,0.8524,0.0198,0.538,0.0259
FastHGTConv,SMOTE,0.9289,0.0125,0.8867,0.0144,0.8379,0.0258,0.9076,0.0447,0.8714,0.0294,0.8705,0.0184,0.522,0.0409
HeteroGATv2,CTGAN,0.9243,0.0167,0.8763,0.0283,0.8179,0.0548,0.9148,0.0322,0.8482,0.0591,0.8622,0.0259,0.536,0.041
HeteroGATv2,No Balancing,0.9266,0.0166,0.8882,0.0177,0.8432,0.0328,0.904,0.0353,0.8765,0.0356,0.8718,0.0194,0.506,0.0434
HeteroGATv2,ROS,0.9223,0.0165,0.8837,0.0173,0.8323,0.0266,0.9076,0.0447,0.8662,0.0304,0.8675,0.0213,0.526,0.0336
HeteroGATv2,ROS+SF,0.9222,0.0169,0.8852,0.0188,0.8395,0.0299,0.9005,0.0395,0.8739,0.0329,0.8683,0.022,0.534,0.0358
HeteroGATv2,SMOTE,0.9262,0.0146,0.8808,0.0212,0.8217,0.041,0.9183,0.0209,0.8533,0.0438,0.8666,0.0198,0.476,0.0513
HyperTMO,CTGAN,0.8128,0.033,0.7422,0.0338,0.6739,0.0427,0.7627,0.1053,0.7272,0.0813,0.7113,0.0475,0.546,0.0241
HyperTMO,No Balancing,0.8195,0.0349,0.7587,0.0439,0.6984,0.0549,0.7555,0.0372,0.761,0.0573,0.7253,0.043,0.524,0.0114
HyperTMO,ROS,0.8226,0.0345,0.7557,0.0404,0.6952,0.0531,0.7554,0.0668,0.7557,0.0656,0.7221,0.0417,0.542,0.0084
HyperTMO,ROS+SF,0.8226,0.0345,0.7557,0.0404,0.6952,0.0531,0.7554,0.0668,0.7557,0.0656,0.7221,0.0417,0.542,0.0084
HyperTMO,SMOTE,0.8236,0.0249,0.7556,0.0236,0.6863,0.0285,0.7732,0.033,0.7429,0.0327,0.7268,0.024,0.542,0.0045
MOGAT,CTGAN,0.9201,0.019,0.8778,0.0262,0.8131,0.0452,0.9254,0.0346,0.843,0.05,0.8647,0.026,0.548,0.0327
MOGAT,No Balancing,0.9235,0.0179,0.8882,0.0219,0.8414,0.0393,0.9076,0.0391,0.8739,0.0407,0.8723,0.0235,0.522,0.0589
MOGAT,ROS,0.9202,0.018,0.8867,0.0234,0.8381,0.0351,0.9076,0.043,0.8713,0.0385,0.8707,0.0265,0.528,0.0517
MOGAT,ROS+SF,0.9202,0.0179,0.8867,0.0234,0.8381,0.0351,0.9076,0.043,0.8713,0.0385,0.8707,0.0265,0.53,0.0515
MOGAT,SMOTE,0.9233,0.0192,0.8808,0.0254,0.8226,0.0491,0.9183,0.0275,0.8534,0.0521,0.8667,0.0241,0.49,0.08
RGCN,CTGAN,0.8923,0.0243,0.8272,0.0234,0.7513,0.0257,0.8833,0.0791,0.7867,0.0408,0.8101,0.0324,0.49,0.0367
RGCN,No Balancing,0.884,0.0284,0.8287,0.0289,0.739,0.0427,0.922,0.0368,0.7608,0.0538,0.8194,0.0259,0.426,0.0329
RGCN,ROS,0.8872,0.0253,0.8257,0.0366,0.749,0.0654,0.8977,0.0886,0.7741,0.0819,0.8121,0.0363,0.462,0.1043
RGCN,ROS+SF,0.8872,0.0253,0.8257,0.0366,0.749,0.0654,0.8977,0.0886,0.7741,0.0819,0.8121,0.0363,0.462,0.1043
RGCN,SMOTE,0.8773,0.0337,0.8287,0.0443,0.7762,0.0605,0.8368,0.0461,0.8226,0.0553,0.8047,0.0474,0.516,0.0391
SGNN,CTGAN,0.876,0.0246,0.8107,0.0371,0.7414,0.0559,0.8587,0.0726,0.7765,0.084,0.7925,0.0334,0.542,0.0455
SGNN,No Balancing,0.879,0.0365,0.8228,0.045,0.7602,0.0583,0.851,0.0411,0.8021,0.0642,0.8022,0.044,0.504,0.0532
SGNN,ROS,0.8777,0.0263,0.8406,0.0307,0.7903,0.0407,0.8477,0.0559,0.8354,0.0414,0.8169,0.0364,0.536,0.0602
SGNN,ROS+SF,0.8752,0.0304,0.8331,0.0361,0.7851,0.0451,0.8336,0.0656,0.8328,0.0457,0.8073,0.0436,0.556,0.0365
SGNN,SMOTE,0.8791,0.0363,0.8302,0.0457,0.7828,0.0677,0.8335,0.0476,0.8279,0.0697,0.8058,0.0454,0.544,0.0397
VEGN,CTGAN,0.9194,0.0207,0.8644,0.0286,0.796,0.044,0.9147,0.0369,0.8276,0.0475,0.8504,0.0292,0.53,0.0308
VEGN,No Balancing,0.9238,0.0176,0.8763,0.0196,0.8165,0.028,0.9113,0.0284,0.8508,0.027,0.861,0.0216,0.454,0.0261
VEGN,ROS,0.9203,0.0221,0.8763,0.0361,0.8217,0.0669,0.9113,0.0416,0.8508,0.0732,0.862,0.0334,0.48,0.0485
VEGN,ROS+SF,0.9233,0.0198,0.8793,0.034,0.8317,0.0693,0.9041,0.0576,0.8611,0.0696,0.8635,0.0338,0.516,0.0456
VEGN,SMOTE,0.9214,0.0192,0.8748,0.0228,0.8129,0.0494,0.9183,0.0351,0.8431,0.0545,0.8609,0.0202,0.494,0.0385
