Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.408,0.8848,0.8333,0.7442,0.9143,0.7755,0.8205
HeteroGATv2,No Balancing,CGGA,0.408,0.6879,0.6399,0.4962,0.6471,0.6359,0.5617
MOGAT,No Balancing,TCGA Test,0.482,0.9115,0.8631,0.7901,0.9143,0.8265,0.8477
MOGAT,No Balancing,CGGA,0.482,0.745,0.6399,0.497,0.8137,0.5435,0.6171
HyperTMO,No Balancing,TCGA Test,0.474,0.83,0.6905,0.8,0.3429,0.9388,0.48
HyperTMO,No Balancing,CGGA,0.474,0.6748,0.4755,0.3846,0.7843,0.3043,0.5161
RGCN,No Balancing,TCGA Test,0.494,0.8147,0.7083,0.6154,0.8,0.6429,0.6957
RGCN,No Balancing,CGGA,0.494,0.6004,0.3566,0.3566,1.0,0.0,0.5258
VEGN,No Balancing,TCGA Test,0.474,0.9047,0.8333,0.7386,0.9286,0.7653,0.8228
VEGN,No Balancing,CGGA,0.474,0.743,0.6853,0.5556,0.5882,0.7391,0.5714
FastHGTConv,No Balancing,TCGA Test,0.508,0.9261,0.8631,0.7765,0.9429,0.8061,0.8516
FastHGTConv,No Balancing,CGGA,0.508,0.7349,0.5524,0.4387,0.9118,0.3533,0.5924
SGNN,No Balancing,TCGA Test,0.444,0.8076,0.7321,0.6316,0.8571,0.6429,0.7273
SGNN,No Balancing,CGGA,0.444,0.6254,0.3566,0.3566,1.0,0.0,0.5258
HeteroGATv2,SMOTE,TCGA Test,0.506,0.9185,0.8452,0.7895,0.8571,0.8367,0.8219
HeteroGATv2,SMOTE,CGGA,0.506,0.7693,0.5839,0.4573,0.8922,0.413,0.6047
MOGAT,SMOTE,TCGA Test,0.512,0.8905,0.8214,0.7564,0.8429,0.8061,0.7973
MOGAT,SMOTE,CGGA,0.512,0.6705,0.5664,0.4461,0.8922,0.3859,0.5948
HyperTMO,SMOTE,TCGA Test,0.512,0.8236,0.756,0.7042,0.7143,0.7857,0.7092
HyperTMO,SMOTE,CGGA,0.512,0.6742,0.5455,0.4176,0.6961,0.462,0.5221
RGCN,SMOTE,TCGA Test,0.494,0.8166,0.7262,0.74,0.5286,0.8673,0.6167
RGCN,SMOTE,CGGA,0.494,0.6677,0.542,0.4241,0.7941,0.4022,0.5529
VEGN,SMOTE,TCGA Test,0.476,0.9182,0.8452,0.7619,0.9143,0.7959,0.8312
VEGN,SMOTE,CGGA,0.476,0.6788,0.521,0.4194,0.8922,0.3152,0.5705
FastHGTConv,SMOTE,TCGA Test,0.456,0.8727,0.6667,0.5574,0.9714,0.449,0.7083
FastHGTConv,SMOTE,CGGA,0.456,0.4985,0.3636,0.3333,0.7843,0.1304,0.4678
SGNN,SMOTE,TCGA Test,0.516,0.8109,0.7679,0.7123,0.7429,0.7857,0.7273
SGNN,SMOTE,CGGA,0.516,0.6726,0.6434,0.5,0.5,0.7228,0.5
HeteroGATv2,CTGAN,TCGA Test,0.532,0.9054,0.8274,0.747,0.8857,0.7857,0.8105
HeteroGATv2,CTGAN,CGGA,0.532,0.778,0.7308,0.5954,0.7647,0.712,0.6695
MOGAT,CTGAN,TCGA Test,0.542,0.8993,0.8333,0.7561,0.8857,0.7959,0.8158
MOGAT,CTGAN,CGGA,0.542,0.7116,0.6993,0.5667,0.6667,0.7174,0.6126
HyperTMO,CTGAN,TCGA Test,0.532,0.8382,0.7619,0.6829,0.8,0.7347,0.7368
HyperTMO,CTGAN,CGGA,0.532,0.6265,0.3776,0.3571,0.9314,0.0707,0.5163
RGCN,CTGAN,TCGA Test,0.456,0.814,0.7202,0.6186,0.8571,0.6224,0.7186
RGCN,CTGAN,CGGA,0.456,0.6562,0.6154,0.4672,0.5588,0.6467,0.5089
VEGN,CTGAN,TCGA Test,0.542,0.8933,0.8393,0.7792,0.8571,0.8265,0.8163
VEGN,CTGAN,CGGA,0.542,0.7288,0.7098,0.5905,0.6078,0.7663,0.599
FastHGTConv,CTGAN,TCGA Test,0.472,0.8962,0.6964,0.5826,0.9571,0.5102,0.7243
FastHGTConv,CTGAN,CGGA,0.472,0.7927,0.4476,0.3906,0.9804,0.1522,0.5587
SGNN,CTGAN,TCGA Test,0.522,0.8098,0.7321,0.6437,0.8,0.6837,0.7134
SGNN,CTGAN,CGGA,0.522,0.6532,0.4196,0.373,0.9216,0.1413,0.5311
HeteroGATv2,ROS,TCGA Test,0.498,0.8983,0.8512,0.7848,0.8857,0.8265,0.8322
HeteroGATv2,ROS,CGGA,0.498,0.7684,0.6748,0.5306,0.7647,0.625,0.6265
MOGAT,ROS,TCGA Test,0.484,0.9192,0.881,0.8049,0.9429,0.8367,0.8684
MOGAT,ROS,CGGA,0.484,0.7586,0.6399,0.497,0.8235,0.538,0.6199
HyperTMO,ROS,TCGA Test,0.528,0.8306,0.756,0.7377,0.6429,0.8367,0.687
HyperTMO,ROS,CGGA,0.528,0.6906,0.6189,0.4762,0.6863,0.5815,0.5622
RGCN,ROS,TCGA Test,0.464,0.8213,0.7321,0.6712,0.7,0.7551,0.6853
RGCN,ROS,CGGA,0.464,0.7003,0.7378,0.7213,0.4314,0.9076,0.5399
VEGN,ROS,TCGA Test,0.536,0.915,0.8393,0.8028,0.8143,0.8571,0.8085
VEGN,ROS,CGGA,0.536,0.7547,0.6923,0.5522,0.7255,0.6739,0.6271
FastHGTConv,ROS,TCGA Test,0.426,0.9077,0.7143,0.5948,0.9857,0.5204,0.7419
FastHGTConv,ROS,CGGA,0.426,0.6231,0.4895,0.4018,0.8824,0.2717,0.5521
SGNN,ROS,TCGA Test,0.512,0.8223,0.7262,0.6304,0.8286,0.6531,0.716
SGNN,ROS,CGGA,0.512,0.6604,0.3566,0.3566,1.0,0.0,0.5258
