Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9156,0.01,0.8002,0.128,0.6683,0.3751,0.6589,0.3911,0.9024,0.0693,0.6572,0.3733,0.472,0.2092
FastHGTConv,No Balancing,0.9238,0.0107,0.8837,0.0156,0.8273,0.0343,0.9182,0.0467,0.8584,0.0447,0.8691,0.0165,0.508,0.0936
FastHGTConv,ROS,0.9323,0.0121,0.8793,0.025,0.8397,0.0401,0.883,0.0155,0.8765,0.0362,0.8605,0.0259,0.426,0.1381
FastHGTConv,SMOTE,0.9248,0.0096,0.8778,0.0209,0.8105,0.0387,0.9289,0.0286,0.8405,0.0417,0.8649,0.0205,0.456,0.0932
HeteroGATv2,CTGAN,0.8936,0.025,0.8451,0.055,0.7818,0.0721,0.8831,0.0454,0.8175,0.071,0.8286,0.0558,0.532,0.1307
HeteroGATv2,No Balancing,0.8968,0.0388,0.8511,0.0513,0.7869,0.0566,0.8868,0.0757,0.8252,0.0486,0.8332,0.0598,0.408,0.0876
HeteroGATv2,ROS,0.9016,0.0377,0.8511,0.0606,0.7935,0.0884,0.8865,0.0508,0.825,0.0905,0.8354,0.0596,0.498,0.0958
HeteroGATv2,SMOTE,0.9187,0.0132,0.8763,0.0242,0.823,0.0571,0.9075,0.0466,0.8532,0.0642,0.861,0.0212,0.506,0.059
HyperTMO,CTGAN,0.8022,0.0269,0.7333,0.0184,0.6529,0.0312,0.7877,0.0552,0.6943,0.0479,0.7125,0.0205,0.532,0.013
HyperTMO,No Balancing,0.8239,0.0213,0.7601,0.0276,0.6938,0.0224,0.7729,0.1275,0.7505,0.0583,0.7266,0.0522,0.474,0.0451
HyperTMO,ROS,0.8405,0.015,0.7795,0.0293,0.7208,0.0561,0.7904,0.0525,0.7711,0.0764,0.7513,0.0212,0.528,0.0239
HyperTMO,SMOTE,0.8367,0.013,0.7705,0.017,0.7124,0.0212,0.7623,0.0273,0.7763,0.0257,0.7363,0.0185,0.512,0.0217
MOGAT,CTGAN,0.9156,0.0193,0.8823,0.0244,0.8313,0.0569,0.9112,0.0508,0.8612,0.0591,0.8671,0.0237,0.542,0.0712
MOGAT,No Balancing,0.918,0.0155,0.8808,0.0219,0.8228,0.0346,0.9148,0.0237,0.8559,0.035,0.866,0.0228,0.482,0.0356
MOGAT,ROS,0.9226,0.0151,0.8733,0.0231,0.8051,0.041,0.9254,0.0265,0.8354,0.0461,0.8603,0.0219,0.484,0.0615
MOGAT,SMOTE,0.922,0.0189,0.8778,0.0189,0.8236,0.0454,0.9076,0.0324,0.8559,0.0489,0.8623,0.0165,0.512,0.0614
RGCN,CTGAN,0.8009,0.0306,0.7437,0.0297,0.6572,0.0369,0.8228,0.0205,0.6865,0.0525,0.7301,0.023,0.456,0.0261
RGCN,No Balancing,0.8191,0.0225,0.7601,0.0252,0.6815,0.0426,0.8189,0.0551,0.7172,0.072,0.7417,0.0177,0.494,0.0913
RGCN,ROS,0.814,0.0315,0.7482,0.0347,0.6714,0.0465,0.7975,0.0556,0.7121,0.0728,0.7271,0.0299,0.464,0.0365
RGCN,SMOTE,0.8178,0.0337,0.7557,0.0421,0.6866,0.076,0.808,0.1211,0.7172,0.1151,0.7339,0.0423,0.494,0.0723
SGNN,CTGAN,0.8261,0.0182,0.7631,0.0274,0.7082,0.0582,0.7623,0.0814,0.7632,0.088,0.7296,0.0231,0.522,0.0466
SGNN,No Balancing,0.8161,0.0259,0.7661,0.0388,0.6859,0.0458,0.8261,0.085,0.7221,0.0693,0.7474,0.0433,0.444,0.0508
SGNN,ROS,0.8281,0.0179,0.778,0.0337,0.7127,0.0475,0.7976,0.0801,0.7633,0.0608,0.7505,0.0402,0.512,0.0657
SGNN,SMOTE,0.8326,0.0167,0.7765,0.0228,0.704,0.032,0.8118,0.0399,0.7506,0.0445,0.7533,0.0223,0.516,0.0888
VEGN,CTGAN,0.9252,0.0176,0.8718,0.0306,0.8166,0.036,0.8971,0.0481,0.8535,0.0332,0.8545,0.0357,0.542,0.013
VEGN,No Balancing,0.9177,0.0173,0.8778,0.0252,0.8224,0.0425,0.9076,0.0298,0.8559,0.0427,0.8622,0.0259,0.474,0.0336
VEGN,ROS,0.9064,0.0218,0.8733,0.0275,0.8145,0.0433,0.9076,0.0324,0.8483,0.0433,0.8579,0.0288,0.536,0.0573
VEGN,SMOTE,0.9115,0.018,0.8688,0.0148,0.8013,0.0328,0.9182,0.0433,0.8328,0.0404,0.8547,0.0158,0.476,0.027
