Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.4080000000000001
MOGAT,No Balancing,0.4820000000000001
HyperTMO,No Balancing,0.4740000000000002
RGCN,No Balancing,0.4940000000000001
VEGN,No Balancing,0.4740000000000001
FastHGTConv,No Balancing,0.5080000000000001
SGNN,No Balancing,0.4440000000000001
HeteroGATv2,SMOTE,0.5060000000000002
MOGAT,SMOTE,0.5120000000000002
HyperTMO,SMOTE,0.5120000000000002
RGCN,SMOTE,0.4940000000000002
VEGN,SMOTE,0.47600000000000015
FastHGTConv,SMOTE,0.4560000000000001
SGNN,SMOTE,0.5160000000000002
HeteroGATv2,CTGAN,0.5320000000000003
MOGAT,CTGAN,0.5420000000000003
HyperTMO,CTGAN,0.5320000000000003
RGCN,CTGAN,0.4560000000000001
VEGN,CTGAN,0.5420000000000003
FastHGTConv,CTGAN,0.47200000000000014
SGNN,CTGAN,0.5220000000000002
HeteroGATv2,ROS,0.4980000000000002
MOGAT,ROS,0.48400000000000015
HyperTMO,ROS,0.5280000000000002
RGCN,ROS,0.46400000000000013
VEGN,ROS,0.5360000000000003
FastHGTConv,ROS,0.42600000000000016
SGNN,ROS,0.5120000000000002
